Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:00.9     	--    	52.0    	--
00:01.9     	--    	52.0    	--
00:02.8     	--    	52.0    	--
00:03.6     	--    	52.0    	--
00:04.5     	--    	52.0    	--
00:05.4     	--    	52.0    	--
00:06.1     	16.64 	54.8    	17.12
00:07.0     	16.65 	56.6    	17.12
00:07.9     	16.67 	56.5    	17.12
00:08.9     	16.70 	56.5    	17.11
00:09.7     	16.72 	56.3    	17.14
00:10.6     	16.79 	56.4    	17.13
00:11.5     	16.83 	56.3    	17.12
00:12.4     	16.86 	56.3    	17.09
00:14.0     	16.90 	56.3    	17.07
00:14.5     	16.90 	56.3    	17.07
00:14.8     	--    	--      	--
00:15.0     	--    	--      	17.12
00:15.1     	--    	56.1    	17.14
00:15.3     	16.82 	56.0    	17.14
00:15.7     	16.82 	56.0    	--
00:16.3     	16.82 	--      	--
00:17.2     	16.82 	--      	--
00:17.7     	--    	--      	--
00:18.4     	--    	--      	--
00:18.6     	--    	--      	--
00:18.7     	16.82 	--      	--
00:20.1     	16.82 	--      	--
00:20.2     	16.82 	--      	--
00:20.9     	--    	--      	--
00:21.1     	--    	--      	--
00:21.3     	--    	--      	--
00:22.1     	--    	--      	--
00:23.3     	--    	--      	--
00:24.3     	--    	--      	--
00:24.4     	--    	--      	--
00:25.3     	--    	--      	17.12
00:26.4     	--    	--      	17.12
00:27.5     	--    	--      	17.12
00:28.4     	--    	--      	17.12
00:30.2     	--    	56.3    	17.12
00:32.4     	--    	56.3    	--
01:42.4     	18.30 	56.3    	18.23
01:43.3     	18.20 	53.3    	18.20
01:44.2     	18.20 	53.2    	18.23
01:45.1     	18.21 	53.2    	18.23
01:46.0     	18.22 	53.3    	18.23
01:47.6     	18.22 	53.4    	18.23
01:48.0     	18.18 	53.4    	18.24
01:48.9     	18.16 	53.2    	18.24
01:49.8     	18.18 	53.1    	18.25
01:50.7     	18.21 	53.1    	18.26
01:51.5     	18.30 	52.9    	18.27
01:52.4     	18.34 	52.8    	18.27
01:53.4     	18.33 	52.9    	18.28
01:54.3     	18.31 	52.9    	18.28
01:55.2     	18.36 	52.8    	18.29
01:56.1     	18.40 	52.8    	18.30
01:57.0     	18.46 	52.7    	18.30
01:57.9     	18.48 	52.8    	18.31
01:58.8     	18.49 	52.7    	18.32
01:59.6     	18.46 	52.6    	18.33
02:00.5     	18.42 	52.6    	18.34
02:01.5     	18.40 	52.7    	18.34
02:02.3     	18.37 	52.8    	18.34
02:03.2     	18.37 	52.9    	18.35
02:04.1     	18.39 	52.9    	18.36
02:05.0     	18.44 	53.0    	18.36
02:05.9     	18.51 	52.9    	18.37
02:06.8     	18.53 	52.9    	18.37
02:07.7     	18.53 	52.7    	18.39
02:08.7     	18.52 	52.6    	18.40
02:09.6     	18.55 	53.1    	18.40
02:10.4     	18.55 	51.9    	18.41
02:11.3     	18.43 	51.4    	18.41
02:12.2     	18.16 	51.6    	18.42
02:13.1     	17.64 	52.5    	18.42
02:14.0     	17.32 	53.1    	18.41
02:14.9     	16.85 	52.9    	18.40
02:15.8     	16.20 	54.1    	18.37
02:16.7     	15.72 	55.3    	18.33
02:17.6     	15.42 	56.7    	18.27
02:18.4     	15.22 	56.8    	18.19
02:19.3     	15.10 	57.8    	18.12
02:20.2     	14.97 	57.5    	18.06
02:21.1     	14.82 	56.9    	17.96
02:22.1     	14.63 	57.3    	17.87
02:23.0     	14.66 	58.7    	17.75
02:23.9     	14.63 	59.2    	17.60
02:24.8     	14.60 	58.4    	17.48
02:25.7     	14.63 	58.8    	17.39
02:26.5     	14.72 	59.5    	17.30
02:27.4     	14.85 	59.9    	17.22
02:28.3     	14.97 	59.0    	17.16
02:29.2     	15.05 	61.2    	17.08
02:30.1     	15.24 	61.1    	17.01
02:31.0     	15.28 	59.8    	16.94
02:31.9     	15.38 	60.6    	16.89
02:32.8     	15.47 	61.4    	16.84
02:33.7     	15.44 	59.4    	16.78
02:34.5     	15.35 	59.8    	16.73
02:35.5     	15.39 	60.7    	16.69
02:36.4     	15.42 	59.6    	16.65
02:37.3     	15.26 	58.8    	16.60
02:38.2     	15.23 	59.0    	16.55
02:39.1     	15.38 	61.3    	16.52
02:40.0     	15.51 	60.4    	16.48
02:40.9     	15.37 	60.4    	16.45
02:41.8     	15.34 	61.1    	16.43
02:42.6     	15.23 	60.5    	16.40
02:43.5     	15.15 	61.7    	16.37
02:44.5     	15.14 	61.1    	16.34
02:45.3     	15.19 	61.1    	16.31
02:46.2     	15.20 	60.6    	16.28
02:47.1     	15.38 	62.0    	16.25
02:48.1     	15.52 	60.9    	16.24
02:49.0     	15.49 	61.5    	16.22
