Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:14.6     	15.40 	72.9    	16.44
02:15.5     	15.28 	72.8    	16.43
02:16.4     	15.26 	73.4    	16.41
02:17.3     	15.29 	73.7    	16.40
02:18.2     	15.33 	73.7    	16.39
02:19.0     	15.40 	74.2    	16.38
02:19.9     	15.53 	74.5    	16.38
02:20.8     	15.62 	74.4    	16.37
02:21.7     	15.69 	74.3    	16.36
02:22.6     	15.79 	74.5    	16.37
02:23.6     	15.86 	74.1    	16.37
02:24.5     	15.80 	73.6    	16.38
02:25.4     	15.75 	73.6    	16.39
02:26.3     	15.82 	73.3    	16.39
02:27.1     	15.71 	73.4    	16.40
02:28.0     	15.73 	74.0    	16.40
02:28.9     	15.73 	73.7    	16.41
02:29.8     	15.79 	73.8    	16.42
02:30.7     	15.94 	74.3    	16.44
02:31.6     	16.22 	75.0    	16.46
02:32.5     	16.33 	74.3    	16.48
02:33.4     	16.33 	74.7    	16.50
02:34.3     	16.15 	73.0    	16.52
02:35.1     	15.77 	72.1    	16.54
02:36.0     	15.76 	73.3    	16.55
02:37.0     	15.79 	74.2    	16.56
02:37.9     	15.77 	73.4    	16.56
02:38.8     	15.76 	73.9    	16.57
02:39.7     	15.60 	73.5    	16.57
02:40.6     	15.47 	73.4    	16.56
02:41.5     	15.37 	73.3    	16.55
02:42.4     	15.32 	74.0    	16.53
02:43.2     	15.30 	74.2    	16.52
02:44.1     	15.37 	75.1    	16.50
02:45.0     	15.49 	74.6    	16.49
02:45.9     	15.56 	74.5    	16.49
02:46.8     	15.55 	74.0    	16.48
02:47.7     	15.61 	74.3    	16.48
02:48.6     	15.74 	74.4    	16.49
02:49.5     	15.68 	73.3    	16.50
02:50.5     	15.67 	73.2    	16.50
02:51.4     	15.47 	73.6    	16.51
02:52.2     	15.49 	73.0    	16.52
02:53.1     	15.23 	71.8    	16.52
02:54.0     	15.01 	72.4    	16.51
02:54.9     	15.13 	74.7    	16.50
02:55.8     	15.49 	76.0    	16.50
02:56.7     	15.81 	76.6    	16.50
02:57.6     	15.84 	74.5    	16.49
02:58.5     	15.43 	71.5    	16.48
02:59.4     	15.14 	70.9    	16.45
03:00.2     	15.00 	71.9    	16.43
03:01.1     	14.89 	72.4    	16.41
03:02.0     	14.98 	74.5    	16.38
03:02.9     	15.08 	74.5    	16.36
03:03.9     	15.05 	73.5    	16.34
03:04.8     	15.13 	74.3    	16.32
03:05.7     	15.27 	74.2    	16.31
03:06.6     	15.31 	73.8    	16.30
03:07.5     	15.32 	73.6    	16.28
03:08.3     	15.52 	74.0    	16.26
03:09.2     	15.41 	72.6    	16.23
03:10.1     	15.09 	72.9    	16.18
03:11.0     	15.06 	73.7    	16.14
03:11.9     	14.96 	73.2    	16.10
03:12.8     	15.05 	73.5    	16.06
03:13.7     	14.99 	73.2    	16.02
03:14.6     	15.05 	73.9    	15.99
03:15.5     	15.36 	73.7    	15.97
03:16.4     	15.29 	74.1    	15.95
03:17.3     	15.48 	73.3    	15.93
03:18.2     	14.88 	71.6    	15.88
03:19.1     	14.51 	72.1    	15.83
03:20.0     	14.29 	72.1    	15.78
03:20.9     	14.31 	73.0    	15.73
03:21.8     	14.44 	72.6    	15.67
03:22.7     	14.33 	72.2    	15.60
03:23.6     	14.39 	72.7    	15.55
03:24.4     	14.48 	73.0    	15.50
03:25.3     	14.50 	72.2    	15.46
03:26.3     	14.58 	72.7    	15.43
03:27.1     	14.70 	72.7    	15.39
03:28.0     	14.86 	73.3    	15.37
03:28.9     	15.14 	72.7    	15.37
03:29.8     	15.21 	73.1    	15.37
03:30.8     	15.52 	73.1    	15.39
03:31.7     	15.51 	72.9    	15.41
03:32.5     	15.25 	71.8    	15.43
03:33.5     	14.68 	70.6    	15.42
03:34.4     	14.45 	71.5    	15.42
03:35.2     	14.40 	72.1    	15.41
03:36.1     	14.41 	72.6    	15.39
03:37.0     	14.39 	72.3    	15.37
03:37.9     	14.60 	73.6    	15.35
03:38.8     	14.88 	73.9    	15.35
03:39.7     	15.01 	73.6    	15.35
03:40.6     	14.95 	72.1    	15.34
03:41.5     	14.70 	71.5    	15.33
03:42.4     	14.50 	71.7    	15.32
03:43.5     	14.70 	71.9    	15.29
03:44.1     	14.37 	71.4    	15.26
03:45.1     	14.35 	71.6    	15.23
03:46.0     	14.40 	71.8    	15.20
03:46.9     	14.45 	72.2    	15.19
03:47.8     	14.60 	71.7    	15.18
03:48.7     	14.56 	72.0    	15.16
03:49.6     	14.60 	72.3    	15.16
03:50.5     	14.71 	72.3    	15.15
03:51.3     	14.67 	71.5    	15.15
03:52.2     	14.70 	73.0    	15.15
03:53.1     	14.91 	72.5    	15.16
03:54.0     	14.90 	72.5    	15.17
03:54.9     	15.02 	72.9    	15.18
03:55.8     	15.12 	72.9    	15.20
03:56.7     	15.17 	72.6    	15.22
03:57.6     	15.25 	72.6    	15.25
03:58.6     	15.45 	73.0    	15.28
03:59.4     	15.64 	73.8    	15.32
04:00.3     	15.93 	74.7    	15.37
04:01.2     	16.14 	73.4    	15.42
04:02.1     	16.01 	72.2    	15.47
04:03.0     	15.81 	71.6    	15.51
04:03.9     	15.53 	70.6    	15.54
04:04.8     	15.20 	71.1    	15.56
04:05.7     	14.98 	71.3    	15.57
04:06.6     	14.92 	72.1    	15.58
04:07.4     	14.78 	72.4    	15.57
04:08.3     	14.78 	72.8    	15.57
04:09.2     	14.82 	73.0    	15.57
04:10.1     	14.94 	73.7    	15.57
04:11.0     	15.09 	73.0    	15.57
04:11.9     	14.95 	72.2    	15.57
04:12.9     	15.08 	74.1    	15.57
04:13.8     	15.00 	72.7    	15.57
04:14.7     	15.03 	72.7    	15.57
04:15.5     	14.97 	72.6    	15.57
04:16.5     	15.13 	73.5    	15.58
04:17.4     	15.32 	74.5    	15.59
