Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:01.0     	--    	49.4    	--
00:01.8     	22.06 	53.2    	21.82
00:02.6     	21.96 	52.6    	21.82
00:03.5     	21.96 	52.4    	21.82
00:04.4     	21.86 	52.7    	21.82
00:05.3     	21.77 	53.0    	21.83
00:06.2     	21.84 	52.9    	21.83
00:07.1     	21.96 	53.0    	21.83
00:07.9     	22.00 	53.0    	21.83
00:08.8     	22.01 	52.7    	21.83
00:09.7     	22.05 	52.7    	21.84
00:10.7     	22.06 	53.7    	21.84
00:11.6     	22.11 	54.0    	21.84
00:12.5     	22.16 	53.6    	21.83
00:13.3     	22.36 	54.4    	21.90
00:14.6     	22.57 	55.3    	21.97
00:14.8     	22.57 	55.3    	21.83
00:15.7     	22.16 	--      	21.76
00:16.2     	21.95 	--      	21.76
00:16.6     	21.95 	--      	--
00:16.8     	--    	--      	--
00:17.0     	--    	--      	--
00:17.3     	--    	--      	--
00:17.7     	--    	--      	--
00:18.3     	--    	--      	--
00:18.6     	--    	--      	--
00:18.8     	--    	--      	--
00:19.0     	--    	--      	--
00:19.2     	--    	--      	--
00:20.0     	--    	--      	--
00:20.4     	--    	--      	21.83
00:21.1     	--    	--      	21.83
00:21.7     	--    	--      	21.83
00:21.9     	--    	--      	--
00:22.1     	--    	--      	--
00:22.3     	--    	53.6    	--
00:22.8     	--    	52.7    	--
00:22.9     	--    	53.6    	--
00:23.3     	23.16 	52.6    	22.03
00:24.2     	23.31 	54.1    	22.09
00:25.1     	23.37 	54.4    	22.13
00:26.0     	23.49 	53.9    	22.16
00:26.9     	23.58 	53.4    	22.19
00:27.8     	23.57 	53.7    	22.21
00:28.7     	23.58 	53.7    	22.23
00:29.5     	23.59 	53.7    	22.26
00:30.4     	23.66 	54.2    	22.26
00:31.4     	23.86 	56.0    	22.28
00:32.3     	23.95 	57.0    	22.31
00:33.2     	23.99 	56.7    	22.33
00:34.1     	24.08 	56.7    	22.36
00:35.0     	24.16 	56.3    	22.38
00:35.9     	24.14 	56.3    	22.41
00:36.8     	24.22 	54.7    	22.43
00:37.6     	24.31 	54.0    	22.46
00:38.5     	24.24 	53.0    	22.51
00:39.4     	24.22 	52.8    	22.62
00:40.3     	24.16 	53.1    	22.57
00:41.2     	24.38 	52.2    	22.62
00:42.2     	24.52 	49.5    	22.64
00:43.0     	24.57 	47.5    	22.67
00:43.9     	24.54 	46.9    	22.71
00:44.8     	24.33 	46.8    	22.72
00:45.7     	24.19 	46.9    	22.79
00:46.6     	24.10 	48.1    	22.82
00:47.5     	24.09 	48.9    	22.86
00:48.4     	23.14 	49.2    	22.82
00:49.3     	21.05 	49.4    	22.76
00:50.2     	18.99 	54.0    	22.72
00:51.0     	16.83 	62.1    	22.61
00:51.9     	15.45 	65.9    	22.51
00:52.9     	13.58 	73.6    	22.34
00:53.8     	12.55 	77.9    	22.17
00:54.7     	11.46 	83.4    	21.91
00:55.6     	10.33 	89.1    	21.58
00:56.4     	9.53  	92.8    	21.29
00:57.4     	9.56  	91.2    	21.03
00:58.3     	9.63  	91.1    	20.71
00:59.1     	9.57  	90.7    	20.44
01:00.0     	9.51  	90.6    	20.09
01:00.9     	9.08  	93.0    	19.73
01:01.8     	8.80  	94.1    	19.43
01:02.7     	8.56  	94.8    	19.15
01:03.7     	8.40  	95.7    	18.82
01:04.5     	8.32  	95.8    	18.53
01:05.4     	8.43  	95.2    	18.29
01:06.3     	8.73  	94.8    	18.02
01:07.2     	8.90  	94.0    	17.76
01:08.1     	8.85  	93.7    	17.45
01:09.0     	8.75  	93.0    	17.11
01:09.9     	8.65  	92.5    	16.81
01:10.8     	8.47  	92.8    	16.54
01:11.7     	8.27  	93.8    	16.27
01:12.6     	8.13  	94.3    	16.02
01:13.4     	8.03  	94.7    	15.74
01:14.4     	7.95  	94.8    	15.47
01:15.3     	7.91  	94.6    	15.23
01:16.2     	7.87  	94.6    	14.96
01:17.1     	7.84  	94.4    	14.74
01:18.0     	7.83  	94.4    	14.54
01:18.9     	7.80  	94.4    	14.39
01:19.8     	7.78  	94.6    	14.24
01:20.7     	7.75  	94.9    	14.08
01:21.5     	7.74  	95.1    	13.90
01:22.4     	7.74  	94.8    	13.76
01:23.3     	7.72  	94.8    	13.62
01:24.2     	7.72  	94.9    	13.44
01:25.1     	7.72  	94.5    	13.26
01:26.1     	7.71  	94.1    	13.08
01:27.0     	7.70  	93.6    	12.92
01:27.9     	7.69  	93.4    	12.76
01:28.8     	7.67  	93.0    	12.61
01:29.6     	7.65  	92.8    	12.47
01:30.5     	7.65  	92.8    	12.34
01:31.4     	7.65  	92.9    	12.22
