Time [mm:ss]	T [°C] 	U [%r H]    	Tu Cap [°C]
02:15.7     	13.34  	93.7        	13.74
02:16.6     	13.34  	93.6        	13.73
02:17.5     	13.35  	93.6        	13.73
02:18.4     	13.35  	93.6        	13.72
02:19.3     	13.35  	93.6        	13.71
02:20.1     	13.34  	93.6        	13.71
02:21.1     	13.35  	93.6        	13.70
02:22.0     	13.35  	93.6        	13.70
02:22.9     	13.35  	93.6        	13.69
02:23.8     	13.35  	93.7        	13.69
02:24.7     	13.34  	93.7        	13.68
02:25.6     	13.34  	93.7        	13.68
02:26.5     	13.33  	93.7        	13.67
02:27.4     	13.34  	93.7        	13.67
02:28.2     	13.35  	93.7        	13.67
02:29.1     	13.35  	93.7        	13.66
02:30.0     	13.35  	93.7        	13.66
02:30.9     	13.35  	93.7        	13.65
02:31.8     	13.35  	93.8        	13.65
02:32.7     	13.34  	93.8        	13.64
02:33.6     	13.33  	93.9        	13.64
02:34.6     	13.33  	94.0        	13.63
02:35.5     	13.33  	94.0        	13.63
02:36.3     	13.33  	94.0        	13.62
02:37.2     	13.34  	93.8        	13.62
02:38.1     	13.34  	93.9        	13.61
02:39.0     	13.34  	93.9        	13.61
02:39.9     	13.35  	93.9        	13.61
02:40.8     	13.35  	93.9        	13.60
02:41.7     	13.35  	93.9        	13.60
02:42.6     	13.34  	93.9        	13.60
02:43.5     	13.34  	94.0        	13.59
02:44.3     	13.34  	94.0        	13.59
02:45.2     	13.34  	94.0        	13.59
02:46.1     	13.35  	93.9        	13.59
02:47.0     	13.34  	94.0        	13.59
02:48.0     	13.34  	94.0        	13.59
02:48.9     	13.34  	94.0        	13.59
02:49.8     	13.35  	94.0        	13.59
02:50.7     	13.34  	94.0        	13.58
02:51.6     	13.33  	94.1        	13.58
02:52.4     	13.33  	94.1        	13.58
02:53.3     	13.33  	94.1        	13.58
02:54.2     	13.33  	94.0        	13.57
02:55.1     	13.32  	94.0        	13.57
02:56.0     	13.32  	94.0        	13.56
02:56.9     	13.32  	94.0        	13.56
02:57.8     	13.32  	94.0        	13.55
02:58.7     	13.32  	94.0        	13.55
02:59.6     	13.32  	94.1        	13.55
03:00.4     	13.32  	94.0        	13.55
03:01.9     	13.33  	94.0        	13.54
03:02.1     	13.33  	94.0        	13.54
03:02.4     	13.33  	94.1        	13.54
03:03.2     	13.33  	94.1        	13.54
03:04.1     	13.32  	94.2        	13.54
03:05.0     	13.33  	94.2        	13.54
03:05.9     	13.33  	94.2        	13.54
03:06.8     	13.32  	94.2        	13.54
03:07.7     	13.31  	94.2        	13.53
03:08.5     	13.31  	94.2        	13.53
03:09.4     	13.31  	94.2        	13.53
03:10.4     	13.31  	94.3        	13.53
03:11.2     	13.32  	94.4        	13.53
03:12.1     	13.32  	94.4        	13.53
03:13.0     	13.32  	94.4        	13.53
03:14.0     	13.32  	94.5        	13.53
03:14.9     	13.33  	94.5        	13.53
03:15.8     	13.32  	94.5        	13.53
03:16.6     	13.31  	94.5        	13.53
03:17.5     	13.31  	94.4        	13.53
03:18.5     	13.30  	94.4        	13.53
03:19.3     	13.30  	94.5        	13.53
03:20.2     	13.30  	94.5        	13.53
03:21.1     	13.29  	94.5        	13.52
03:22.0     	13.29  	94.5        	13.52
