Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.2     	--    	53.5    	--
00:02.1     	--    	53.5    	--
00:03.0     	--    	53.3    	--
00:03.7     	20.88 	56.8    	20.94
00:04.6     	20.86 	57.0    	20.94
00:05.5     	20.85 	57.0    	20.94
00:06.4     	20.86 	56.9    	20.94
00:07.3     	20.88 	56.9    	20.94
00:08.2     	20.91 	56.9    	20.94
00:09.1     	20.94 	56.9    	20.94
00:10.0     	20.98 	56.7    	20.93
00:10.9     	21.24 	57.1    	20.97
00:11.8     	21.41 	57.0    	20.98
00:12.7     	21.60 	56.1    	20.99
00:13.6     	21.68 	55.9    	21.00
00:14.4     	21.85 	56.2    	21.01
00:15.3     	21.90 	56.3    	21.03
00:16.2     	21.93 	56.1    	21.03
00:17.1     	21.90 	55.5    	21.03
00:18.0     	21.84 	55.1    	21.10
00:19.0     	21.80 	55.4    	21.08
00:19.9     	21.68 	56.6    	21.08
00:20.8     	21.69 	56.9    	21.13
00:21.7     	21.93 	56.3    	21.18
00:22.5     	21.98 	55.9    	21.16
00:23.4     	22.16 	54.4    	21.17
00:24.3     	22.24 	54.3    	21.18
00:25.2     	22.21 	53.9    	21.21
00:26.1     	22.19 	53.8    	21.24
00:27.0     	22.25 	53.5    	21.24
00:27.9     	22.43 	52.5    	21.28
00:28.8     	22.58 	51.9    	21.29
00:29.7     	22.65 	51.3    	21.31
00:30.5     	22.65 	51.9    	21.34
00:31.4     	22.67 	51.8    	21.36
00:32.3     	22.68 	52.3    	21.38
00:33.3     	22.73 	52.3    	21.41
00:34.2     	22.78 	52.2    	21.44
00:35.1     	22.81 	52.5    	21.47
00:36.0     	22.84 	52.3    	21.49
00:36.9     	22.91 	51.8    	21.52
00:38.3     	22.98 	51.4    	21.55
00:38.4     	22.98 	51.4    	21.55
00:38.6     	23.00 	51.5    	21.56
00:39.5     	23.02 	51.6    	21.59
00:40.4     	23.06 	51.6    	21.61
00:41.3     	23.16 	51.5    	21.63
00:42.2     	23.21 	51.3    	21.66
00:43.1     	23.24 	51.1    	21.68
00:44.0     	23.28 	50.7    	21.70
00:44.9     	23.31 	50.6    	21.72
00:45.8     	23.36 	51.8    	21.75
00:46.8     	23.47 	52.7    	21.79
00:47.6     	23.50 	51.5    	21.78
00:48.5     	23.53 	51.0    	21.81
00:49.5     	23.55 	51.1    	21.84
00:50.3     	23.56 	50.9    	21.87
00:51.2     	23.56 	50.8    	21.93
00:52.1     	23.59 	51.1    	21.95
00:53.0     	23.62 	51.3    	21.99
00:53.9     	23.50 	51.8    	22.01
00:54.8     	23.48 	51.7    	22.04
00:55.7     	23.45 	51.5    	22.06
00:56.6     	23.40 	51.5    	22.08
00:57.5     	23.27 	51.8    	22.10
00:58.3     	23.18 	52.0    	22.12
00:59.2     	23.15 	52.1    	22.13
01:00.2     	23.13 	52.0    	22.15
01:01.1     	23.07 	52.1    	22.16
01:02.0     	23.01 	52.1    	22.18
01:02.9     	22.97 	52.5    	22.19
01:03.8     	22.92 	52.8    	22.21
01:04.7     	22.90 	52.7    	22.22
01:05.6     	22.85 	52.7    	22.23
01:06.4     	22.79 	52.7    	22.25
01:07.3     	22.75 	52.7    	22.27
01:08.2     	22.65 	53.0    	22.28
01:09.1     	22.56 	53.2    	22.29
01:10.0     	22.46 	53.5    	22.30
01:10.9     	22.41 	53.6    	22.31
01:11.8     	22.37 	53.7    	22.32
01:12.7     	22.42 	55.0    	22.37
01:13.7     	22.56 	53.8    	22.37
01:14.5     	22.72 	52.8    	22.38
01:15.4     	22.83 	53.2    	22.35
01:16.3     	22.97 	52.9    	22.37
01:17.2     	23.11 	51.6    	22.38
01:18.1     	23.11 	51.1    	22.41
01:19.0     	23.14 	50.9    	22.41
01:19.9     	23.02 	51.2    	22.45
01:20.8     	22.98 	51.3    	22.51
01:21.7     	22.41 	50.4    	22.43
01:22.5     	19.28 	54.9    	22.41
01:23.4     	16.83 	60.9    	22.34
01:24.3     	14.48 	68.7    	22.23
01:25.2     	12.88 	75.2    	22.11
01:26.1     	11.68 	81.1    	22.00
01:27.0     	10.65 	86.2    	21.86
01:28.0     	9.80  	90.8    	21.70
01:28.9     	9.21  	93.9    	21.50
01:29.8     	8.70  	96.8    	21.28
01:30.6     	8.37  	98.7    	21.02
01:31.5     	8.12  	99.8    	20.77
01:32.5     	7.93  	100.0   	20.50
01:33.3     	7.78  	100.0   	20.24
01:34.2     	7.68  	100.0   	19.98
01:35.1     	7.62  	99.9    	19.70
01:36.0     	7.56  	99.6    	19.41
01:36.9     	7.53  	99.2    	19.12
01:37.8     	7.56  	99.6    	18.82
01:38.6     	7.75  	99.3    	18.47
01:39.5     	7.84  	98.1    	18.17
01:40.5     	7.88  	97.2    	17.88
01:41.4     	7.91  	96.5    	17.60
01:42.3     	7.92  	96.0    	17.32
01:43.2     	7.93  	95.4    	17.08
01:44.1     	7.93  	95.0    	16.85
01:45.0     	7.93  	94.6    	16.63
01:45.9     	7.92  	94.4    	16.42
01:46.7     	7.93  	94.0    	16.22
01:47.7     	7.94  	93.8    	16.03
01:48.6     	7.95  	93.6    	15.84
01:49.4     	7.92  	93.5    	15.67
01:50.3     	7.87  	93.5    	15.49
01:51.2     	7.84  	93.4    	15.32
01:52.1     	7.81  	93.3    	15.16
01:53.0     	7.79  	93.2    	14.99
01:53.9     	7.77  	93.0    	14.84
01:54.8     	7.75  	92.9    	14.68
