Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:15.1     	16.11 	66.5        	17.46
02:16.0     	16.04 	67.0        	17.46
02:16.9     	15.97 	67.6        	17.47
02:17.8     	15.92 	67.9        	17.47
02:18.7     	15.84 	68.1        	17.47
02:19.6     	15.78 	68.2        	17.47
02:20.5     	15.82 	68.3        	17.47
02:21.3     	15.84 	68.6        	17.46
02:22.3     	15.88 	68.7        	17.46
02:23.2     	15.84 	67.8        	17.45
02:24.0     	15.79 	67.1        	17.44
02:24.9     	15.74 	66.5        	17.43
02:25.8     	15.71 	66.0        	17.42
02:26.7     	15.68 	65.5        	17.41
02:27.7     	15.64 	65.3        	17.39
02:28.6     	15.61 	65.0        	17.38
02:29.4     	15.59 	64.9        	17.35
02:30.4     	15.59 	65.2        	17.34
02:31.3     	15.61 	65.6        	17.33
02:32.1     	15.63 	65.9        	17.32
02:33.0     	15.66 	66.2        	17.31
02:33.9     	15.70 	66.2        	17.31
02:34.8     	15.73 	66.1        	17.31
02:35.7     	15.76 	66.1        	17.30
02:36.6     	15.80 	66.0        	17.30
02:37.5     	15.86 	65.8        	17.30
02:38.4     	15.85 	65.4        	17.30
02:39.3     	15.85 	65.2        	17.30
02:40.1     	15.85 	65.2        	17.30
02:41.0     	15.88 	65.1        	17.30
02:42.0     	15.90 	64.8        	17.30
02:42.9     	15.91 	64.5        	17.30
02:43.8     	15.91 	64.3        	17.30
02:44.7     	15.90 	64.3        	17.31
02:45.6     	15.94 	64.2        	17.31
02:46.5     	15.99 	64.2        	17.31
02:47.4     	16.04 	65.1        	17.31
02:48.2     	16.12 	65.9        	17.32
02:49.1     	16.22 	65.8        	17.33
02:50.0     	16.33 	65.5        	17.33
02:50.9     	16.40 	65.6        	17.34
02:51.8     	16.47 	65.7        	17.35
02:52.7     	16.51 	65.8        	17.36
02:53.6     	16.53 	65.6        	17.37
02:54.5     	16.55 	65.3        	17.39
02:55.4     	16.57 	65.1        	17.40
02:56.3     	16.54 	64.9        	17.41
02:57.2     	16.50 	64.7        	17.42
02:58.1     	16.46 	64.5        	17.43
02:59.0     	16.42 	64.4        	17.45
02:59.9     	16.41 	64.4        	17.46
03:00.8     	16.39 	64.3        	17.47
03:01.7     	16.39 	64.1        	17.48
03:02.6     	16.39 	64.1        	17.49
03:03.5     	16.39 	64.1        	17.51
03:04.3     	16.43 	64.1        	17.52
03:05.2     	16.54 	63.7        	17.53
03:06.2     	16.61 	63.5        	17.55
03:07.0     	16.67 	63.4        	17.56
03:07.9     	16.69 	63.3        	17.58
