Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.9     	--    	54.0    	
00:00.9     	--    	0x50 187	
00:01.9     	--    	54.0    	--
00:02.8     	--    	54.0    	--
00:03.7     	--    	54.0    	--
00:04.5     	--    	54.0    	--
00:05.4     	--    	54.1    	--
00:06.1     	19.73 	57.6    	20.16
00:07.0     	19.75 	59.1    	20.16
00:07.8     	19.77 	59.0    	20.16
00:08.8     	19.80 	59.0    	20.16
00:09.7     	19.83 	59.0    	20.16
00:10.6     	19.81 	59.1    	20.16
00:11.5     	19.77 	59.3    	20.17
00:12.4     	19.73 	59.5    	20.17
00:13.3     	19.70 	59.7    	20.17
00:14.2     	19.70 	59.8    	20.19
00:15.1     	19.70 	60.1    	20.19
00:15.9     	19.69 	60.4    	20.19
00:16.8     	19.73 	60.4    	20.20
00:17.7     	19.79 	60.3    	20.20
00:18.6     	19.84 	60.0    	20.22
00:19.5     	19.89 	59.8    	20.21
00:20.4     	20.14 	59.2    	20.22
00:21.3     	20.38 	59.2    	20.22
00:22.3     	20.66 	57.8    	20.23
00:23.2     	20.83 	57.2    	20.25
00:24.0     	20.87 	57.4    	20.26
00:24.9     	20.86 	57.2    	20.27
00:25.8     	20.89 	56.4    	20.28
00:26.7     	20.99 	55.9    	20.27
00:27.6     	21.04 	55.9    	20.27
00:28.5     	21.31 	55.1    	20.35
00:29.4     	21.27 	54.8    	20.33
00:30.3     	21.12 	55.2    	20.33
00:31.2     	21.32 	54.5    	20.35
00:32.0     	21.46 	53.8    	20.36
00:33.0     	21.49 	53.7    	20.37
00:33.9     	21.56 	53.4    	20.40
00:34.8     	21.69 	54.1    	20.46
00:35.7     	21.78 	53.6    	20.47
00:36.6     	21.79 	53.4    	20.49
00:37.4     	21.89 	54.3    	20.51
00:38.4     	21.93 	54.7    	20.54
00:39.3     	21.95 	54.2    	20.56
00:40.1     	21.99 	53.6    	20.58
00:41.0     	22.01 	53.3    	20.60
00:41.9     	22.05 	53.2    	20.62
00:42.8     	22.06 	53.2    	20.64
00:43.8     	22.02 	53.3    	20.67
00:44.7     	22.01 	53.2    	20.68
00:45.5     	21.99 	52.8    	20.73
00:46.4     	21.93 	53.1    	20.74
00:47.3     	21.95 	53.0    	20.75
00:48.2     	21.97 	52.8    	20.79
00:49.1     	21.87 	52.9    	20.82
00:50.0     	21.76 	52.9    	20.83
00:50.9     	21.70 	53.1    	20.83
00:51.7     	21.69 	53.0    	20.85
00:52.7     	21.97 	52.2    	20.88
00:53.6     	21.18 	53.0    	20.91
00:54.5     	19.69 	54.7    	20.87
00:55.4     	17.90 	59.1    	20.84
00:56.3     	16.56 	63.7    	20.81
00:57.2     	15.14 	68.8    	20.76
00:58.1     	13.99 	73.5    	20.68
00:59.0     	13.17 	77.2    	20.59
00:59.8     	12.50 	80.5    	20.45
01:00.7     	11.87 	83.2    	20.28
01:01.7     	11.33 	85.0    	20.12
01:02.5     	10.96 	86.4    	19.91
01:03.4     	10.67 	87.9    	19.69
01:04.3     	10.47 	88.4    	19.50
01:05.3     	10.34 	88.7    	19.27
01:06.2     	10.27 	88.7    	19.06
01:07.1     	10.20 	88.9    	18.84
01:07.9     	10.13 	89.6    	18.64
01:08.8     	10.08 	89.8    	18.43
01:09.7     	10.13 	89.0    	18.21
01:10.6     	9.97  	89.6    	18.02
01:11.5     	10.02 	89.0    	17.84
01:12.4     	10.04 	88.6    	17.66
01:13.2     	10.03 	88.3    	17.50
01:14.2     	10.03 	88.1    	17.35
01:15.2     	9.99  	88.5    	17.20
01:16.0     	9.91  	89.1    	17.05
01:16.9     	9.87  	89.2    	16.91
