Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:16.1     	15.70 	52.1    	18.67
02:17.0     	15.64 	52.3    	18.68
02:17.9     	15.66 	53.6    	18.70
02:18.7     	15.83 	56.5    	18.73
02:19.6     	15.77 	55.2    	18.75
02:20.7     	15.75 	56.1    	18.76
02:21.5     	15.83 	57.1    	18.76
02:22.4     	15.92 	57.9    	18.76
02:23.3     	16.05 	57.7    	18.76
02:24.2     	16.26 	59.9    	18.76
02:25.1     	16.62 	60.4    	18.77
02:26.0     	16.86 	59.5    	18.78
02:26.8     	17.00 	57.1    	18.80
02:27.8     	16.92 	55.0    	18.82
02:28.7     	16.98 	56.1    	18.83
02:29.5     	17.00 	58.6    	18.85
02:30.4     	17.03 	58.0    	18.88
02:31.3     	17.14 	59.0    	18.91
02:32.2     	17.33 	58.2    	18.94
02:33.1     	17.25 	55.0    	18.97
02:34.0     	17.10 	54.2    	19.00
02:35.0     	17.03 	53.8    	19.03
02:35.9     	16.98 	53.5    	19.06
02:36.8     	17.02 	53.8    	19.09
02:37.6     	17.14 	56.5    	19.12
02:38.5     	17.18 	56.2    	19.15
02:39.4     	17.51 	59.0    	19.19
02:40.3     	17.76 	58.9    	19.23
02:41.2     	17.81 	53.9    	19.26
02:42.1     	17.67 	50.5    	19.27
02:43.0     	17.39 	50.7    	19.30
02:43.9     	17.30 	52.3    	19.32
02:44.8     	17.28 	53.8    	19.35
02:45.6     	17.20 	54.5    	19.39
02:46.5     	17.06 	53.7    	19.42
02:47.5     	16.66 	51.9    	19.44
02:48.4     	16.44 	52.1    	19.46
02:49.3     	16.40 	54.5    	19.47
02:50.2     	16.40 	56.1    	19.48
02:51.1     	16.48 	56.6    	19.49
02:52.0     	16.25 	52.5    	19.48
02:52.9     	16.06 	52.7    	19.46
02:53.7     	16.06 	53.3    	19.43
02:54.6     	15.96 	53.8    	19.40
02:55.5     	16.02 	58.2    	19.36
02:56.4     	16.17 	59.8    	19.32
02:57.3     	16.22 	58.3    	19.27
02:58.2     	16.17 	55.6    	19.23
02:59.1     	16.10 	57.3    	19.19
03:00.0     	16.04 	57.4    	19.15
03:01.0     	16.15 	59.2    	19.11
03:01.8     	16.16 	57.4    	19.08
03:02.7     	16.12 	55.2    	19.05
03:03.6     	16.12 	55.0    	19.02
03:04.5     	16.22 	55.7    	19.00
03:05.4     	16.37 	57.4    	18.98
03:06.3     	16.60 	59.1    	18.97
03:07.2     	16.76 	58.3    	18.97
03:08.1     	16.86 	57.7    	18.98
03:09.0     	17.01 	59.3    	18.99
03:09.8     	17.13 	58.4    	19.00
03:10.7     	17.17 	56.7    	19.03
03:11.6     	17.15 	55.5    	19.05
03:12.5     	17.28 	56.5    	19.08
03:13.4     	17.44 	57.0    	19.12
03:14.4     	17.68 	59.2    	19.16
03:15.3     	17.93 	62.9    	19.21
03:16.2     	18.15 	59.6    	19.26
03:17.1     	18.16 	59.6    	19.31
03:17.9     	18.22 	58.3    	19.35
03:18.8     	18.14 	55.7    	19.38
03:19.7     	18.01 	57.5    	19.41
03:20.6     	17.94 	58.6    	19.44
03:21.5     	17.70 	54.2    	19.46
03:22.4     	17.51 	58.1    	19.47
03:23.3     	17.43 	61.2    	19.49
03:24.2     	17.35 	59.3    	19.50
03:25.1     	17.35 	61.2    	19.52
03:25.9     	17.37 	59.3    	19.55
03:26.8     	17.38 	58.3    	19.59
03:27.9     	17.20 	55.3    	19.63
03:28.7     	17.08 	54.5    	19.66
03:29.6     	17.03 	55.1    	19.70
03:30.5     	16.91 	56.5    	19.74
03:31.4     	16.84 	57.4    	19.78
03:32.3     	16.52 	51.4    	19.79
03:33.2     	16.02 	49.7    	19.79
03:34.0     	15.61 	49.4    	19.76
03:35.0     	15.29 	51.1    	19.70
03:35.9     	15.28 	53.3    	19.64
03:36.7     	15.43 	55.7    	19.59
03:37.6     	15.49 	54.8    	19.53
03:38.5     	15.39 	52.2    	19.48
03:39.4     	15.32 	51.8    	19.43
03:40.3     	15.30 	52.2    	19.38
03:41.2     	15.35 	52.8    	19.33
03:42.1     	15.42 	53.4    	19.29
03:43.1     	15.66 	54.6    	19.26
03:44.0     	15.75 	55.6    	19.23
03:44.8     	15.79 	53.5    	19.21
03:45.7     	15.83 	53.2    	19.19
03:46.6     	15.88 	53.8    	19.17
03:47.5     	15.87 	53.6    	19.16
03:48.4     	15.86 	54.0    	19.15
03:49.3     	16.00 	55.5    	19.14
03:50.1     	16.13 	56.1    	19.14
03:51.1     	16.27 	57.0    	19.14
03:52.0     	16.40 	59.3    	19.14
03:52.8     	16.58 	60.7    	19.14
03:53.7     	16.71 	59.7    	19.14
03:54.7     	16.76 	59.9    	19.15
03:55.6     	16.87 	61.8    	19.16
03:56.5     	17.13 	59.6    	19.18
03:57.4     	17.21 	56.0    	19.20
03:58.2     	17.13 	53.7    	19.22
03:59.2     	17.07 	53.8    	19.25
04:00.1     	17.07 	54.6    	19.28
04:00.9     	17.19 	58.0    	19.31
04:01.8     	17.34 	59.2    	19.35
04:02.7     	17.43 	60.4    	19.40
04:03.6     	17.19 	58.0    	19.44
04:04.5     	17.01 	56.7    	19.48
04:05.4     	16.85 	55.5    	19.52
04:06.3     	16.70 	55.4    	19.55
04:07.3     	16.64 	55.7    	19.57
04:08.2     	16.61 	57.1    	19.60
04:09.0     	16.83 	58.4    	19.62
04:09.9     	16.71 	56.5    	19.64
04:10.8     	16.66 	55.9    	19.67
04:11.7     	16.59 	56.2    	19.69
04:12.6     	16.55 	55.8    	19.72
04:13.5     	16.55 	57.5    	19.74
04:14.3     	16.58 	58.7    	19.77
04:15.3     	16.77 	60.5    	19.80
04:16.2     	16.94 	61.8    	19.83
04:17.0     	17.19 	61.9    	19.86
04:17.9     	17.24 	60.4    	19.89
04:18.8     	17.22 	59.8    	19.93
04:19.7     	16.89 	56.3    	19.96
04:20.7     	16.63 	55.0    	19.97
04:21.6     	16.46 	55.3    	19.98
04:22.5     	16.34 	54.8    	19.99
04:23.4     	16.29 	54.7    	19.99
04:24.3     	16.27 	55.1    	19.99
04:25.1     	16.27 	55.4    	19.98
04:26.0     	16.28 	56.2    	19.99
04:26.9     	16.30 	56.0    	20.00
04:27.8     	16.35 	57.1    	20.01
04:28.7     	16.40 	57.5    	20.02
04:29.6     	16.48 	58.1    	20.02
04:30.4     	16.56 	59.2    	20.02
04:31.3     	16.63 	63.0    	20.00
04:32.3     	16.88 	68.4    	19.99
04:33.2     	17.16 	64.8    	19.98
04:34.1     	17.07 	55.9    	19.96
04:35.0     	16.94 	55.0    	19.93
04:35.9     	16.92 	56.1    	19.92
04:36.8     	16.81 	54.3    	19.94
04:37.7     	16.73 	54.3    	19.96
04:38.5     	16.69 	56.2    	19.96
04:39.5     	16.77 	60.1    	19.96
04:40.4     	16.97 	55.6    	19.96
