Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:15.5     	14.64 	64.1    	16.29
02:16.4     	14.63 	66.6    	16.28
02:17.3     	14.65 	66.2    	16.26
02:18.1     	14.59 	66.1    	16.24
02:19.0     	14.72 	68.4    	16.22
02:20.0     	15.21 	69.0    	16.20
02:20.8     	15.16 	64.4    	16.19
02:21.8     	14.60 	63.2    	16.16
02:22.7     	14.28 	63.6    	16.13
02:23.5     	14.14 	64.7    	16.10
02:24.5     	14.27 	66.4    	16.06
02:25.4     	14.52 	65.1    	16.02
02:26.2     	14.19 	64.5    	15.97
02:27.1     	14.14 	66.4    	15.92
02:28.0     	14.40 	67.3    	15.89
02:28.9     	14.46 	66.7    	15.86
02:29.8     	14.40 	64.9    	15.81
02:30.7     	14.33 	64.9    	15.78
02:31.5     	14.42 	67.1    	15.75
02:32.5     	14.62 	65.3    	15.73
02:33.5     	14.57 	64.6    	15.72
02:34.3     	14.60 	66.1    	15.71
02:35.2     	14.75 	66.3    	15.71
02:36.1     	14.80 	65.6    	15.72
02:37.0     	14.69 	64.3    	15.73
02:37.9     	14.65 	65.0    	15.75
02:38.8     	14.78 	66.4    	15.76
02:39.6     	14.94 	66.6    	15.78
02:40.5     	14.96 	65.4    	15.79
02:41.4     	14.80 	64.3    	15.81
02:42.3     	14.63 	64.5    	15.81
02:43.3     	14.63 	65.8    	15.81
02:44.2     	14.75 	65.4    	15.82
02:45.1     	14.69 	66.0    	15.82
02:46.0     	14.55 	65.4    	15.82
02:46.9     	14.45 	64.4    	15.81
02:47.8     	14.38 	65.8    	15.81
02:48.6     	14.59 	67.2    	15.82
02:49.5     	14.79 	67.6    	15.82
02:50.4     	15.12 	69.4    	15.84
02:51.3     	15.20 	66.3    	15.86
02:52.2     	15.35 	67.4    	15.89
02:53.2     	15.57 	67.9    	15.93
02:54.0     	15.56 	66.3    	15.97
02:54.9     	15.76 	66.1    	16.02
02:55.8     	15.77 	65.0    	16.06
02:56.7     	15.94 	65.2    	16.11
02:57.6     	16.00 	65.5    	16.17
02:58.5     	16.20 	65.2    	16.23
02:59.4     	16.07 	62.6    	16.28
03:00.3     	16.01 	63.4    	16.34
03:01.2     	15.77 	63.4    	16.39
03:02.0     	15.83 	66.6    	16.45
03:03.0     	15.75 	63.8    	16.47
03:03.9     	15.51 	62.3    	16.46
03:04.8     	15.31 	62.0    	16.45
03:05.7     	15.17 	61.9    	16.42
03:06.6     	15.04 	62.1    	16.41
03:07.4     	15.02 	64.2    	16.43
03:08.4     	14.94 	63.6    	16.47
03:09.3     	14.88 	64.1    	16.51
03:10.1     	14.97 	64.6    	16.55
03:11.0     	15.04 	64.4    	16.58
03:11.9     	15.21 	65.5    	16.60
03:12.8     	15.35 	66.3    	16.62
03:13.8     	15.55 	66.4    	16.64
03:14.7     	15.58 	64.5    	16.67
03:15.5     	15.68 	66.1    	16.69
03:16.4     	15.85 	67.4    	16.72
03:17.3     	15.86 	66.6    	16.75
03:18.2     	15.60 	65.6    	16.76
03:19.1     	15.35 	67.2    	16.77
03:20.0     	15.45 	68.9    	16.78
03:20.9     	15.11 	65.0    	16.75
03:21.8     	14.81 	62.7    	16.70
03:22.7     	14.58 	63.9    	16.69
03:23.6     	14.37 	64.3    	16.66
03:24.5     	14.36 	65.9    	16.63
03:25.4     	14.48 	67.7    	16.58
03:26.3     	14.72 	67.0    	16.54
03:27.2     	14.68 	66.0    	16.51
03:28.1     	14.87 	64.9    	16.49
03:29.0     	15.02 	67.5    	16.48
03:29.9     	15.28 	68.9    	16.47
03:30.8     	15.39 	67.7    	16.46
03:31.6     	15.55 	69.1    	16.46
03:32.5     	15.92 	70.1    	16.47
03:33.4     	16.07 	67.4    	16.49
03:34.4     	16.04 	68.2    	16.51
03:35.3     	15.89 	67.6    	16.54
03:36.2     	15.67 	64.8    	16.55
03:37.0     	15.15 	64.1    	16.54
03:37.9     	14.82 	64.1    	16.52
03:38.8     	14.79 	65.4    	16.51
03:39.7     	14.67 	64.9    	16.48
03:40.6     	14.69 	66.7    	16.45
03:41.5     	14.70 	64.9    	16.40
03:42.4     	14.50 	64.8    	16.33
03:43.3     	14.37 	65.0    	16.27
03:44.2     	14.40 	65.9    	16.22
03:45.1     	14.60 	67.4    	16.17
03:46.0     	15.01 	68.3    	16.14
03:46.9     	15.17 	69.1    	16.13
03:47.8     	15.43 	65.9    	16.12
03:48.7     	14.92 	63.2    	16.10
03:49.6     	14.84 	66.2    	16.08
03:50.5     	15.09 	68.0    	16.07
03:51.4     	15.29 	67.8    	16.06
03:52.3     	15.42 	67.0    	16.07
03:53.1     	15.41 	66.9    	16.08
03:54.0     	15.55 	66.6    	16.10
03:54.9     	15.55 	66.1    	16.11
03:55.9     	15.39 	65.7    	16.13
03:56.8     	15.38 	65.7    	16.15
03:57.7     	15.10 	63.7    	16.14
03:58.5     	14.59 	62.3    	16.13
03:59.4     	14.24 	62.5    	16.09
04:00.3     	14.06 	63.3    	16.05
04:01.2     	13.94 	63.3    	16.01
04:02.1     	13.85 	64.0    	15.97
04:03.0     	14.07 	67.8    	15.94
04:03.8     	14.41 	66.2    	15.92
04:04.8     	14.42 	65.5    	15.89
04:05.7     	14.48 	64.0    	15.86
04:06.5     	14.31 	63.4    	15.83
04:07.5     	14.25 	64.4    	15.80
04:08.4     	14.45 	65.0    	15.77
04:09.3     	14.57 	67.4    	15.75
04:10.2     	14.81 	66.1    	15.74
04:11.1     	14.69 	64.7    	15.74
04:11.9     	14.69 	65.4    	15.73
