Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.7     	--    	--      	--
00:00.7     	      	        	
00:01.1     	--    	54.9    	--
00:02.0     	--    	54.7    	--
00:03.0     	--    	54.4    	--
00:04.3     	--    	54.2    	--
00:04.7     	--    	54.5    	--
00:05.6     	--    	54.5    	--
00:06.5     	--    	54.3    	--
00:07.4     	--    	54.7    	--
00:08.2     	20.62 	58.9    	20.61
00:09.0     	20.58 	59.1    	20.61
00:09.9     	20.64 	58.4    	20.61
00:10.8     	20.70 	58.4    	20.61
00:11.7     	20.77 	58.4    	20.61
00:12.6     	20.84 	58.3    	20.62
00:13.5     	20.77 	60.0    	20.52
00:14.3     	20.49 	61.4    	20.59
00:15.2     	20.20 	61.2    	20.59
00:16.1     	19.95 	61.1    	20.61
00:17.0     	19.76 	61.6    	20.61
00:17.9     	19.68 	61.7    	20.61
00:18.9     	19.81 	61.5    	20.61
00:19.8     	19.95 	61.0    	20.60
00:20.7     	20.09 	61.0    	20.60
00:21.6     	20.01 	61.5    	20.60
00:22.4     	19.85 	62.2    	20.49
00:23.3     	19.63 	62.2    	20.49
00:24.2     	19.70 	61.8    	20.57
00:25.1     	19.49 	62.6    	20.58
00:26.0     	19.58 	62.2    	20.63
00:26.9     	19.48 	63.1    	20.57
00:27.7     	19.49 	63.0    	20.58
00:28.8     	19.36 	63.4    	20.55
00:29.7     	19.41 	63.0    	20.56
00:30.5     	19.38 	63.2    	20.56
00:31.4     	19.42 	63.0    	20.55
00:32.3     	19.53 	62.6    	20.54
00:33.2     	19.46 	63.3    	20.54
00:34.1     	19.53 	62.4    	20.64
00:35.0     	19.59 	63.5    	20.58
00:35.9     	19.99 	62.3    	20.61
00:36.7     	20.52 	61.1    	20.66
00:37.6     	21.04 	59.6    	20.65
00:38.5     	21.35 	58.2    	20.68
00:39.4     	21.60 	57.4    	20.70
00:40.4     	21.58 	57.6    	20.60
00:41.3     	21.67 	56.7    	20.61
00:42.2     	21.77 	56.4    	20.63
00:43.1     	21.17 	57.7    	20.62
00:44.0     	19.23 	59.5    	20.61
00:44.8     	17.30 	64.6    	20.57
00:45.7     	15.70 	70.3    	20.50
00:46.6     	14.33 	76.3    	20.43
00:47.5     	13.33 	81.1    	20.28
