Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:00.7     	--    	55.0        	
00:00.7     	--    	0x06 -52.186	
00:01.6     	--    	55.2        	--
00:02.2     	19.90 	58.6        	19.71
00:03.2     	19.88 	58.0        	19.71
00:04.1     	19.82 	58.3        	19.71
00:04.9     	19.77 	58.5        	19.72
00:05.8     	19.71 	58.7        	19.72
00:06.8     	19.65 	58.8        	19.72
00:07.7     	19.57 	59.1        	19.72
00:08.6     	19.44 	59.6        	19.66
00:09.5     	19.51 	59.0        	19.71
00:10.3     	19.56 	59.1        	19.71
00:11.2     	19.59 	59.0        	19.71
00:12.2     	19.63 	58.8        	19.71
00:13.0     	19.64 	58.9        	19.71
00:13.9     	19.64 	58.9        	19.74
00:14.8     	19.67 	58.8        	19.74
00:15.7     	19.67 	58.6        	19.77
00:16.6     	19.70 	58.5        	19.79
00:17.5     	19.71 	58.7        	19.72
00:18.3     	19.82 	58.9        	19.69
00:19.3     	20.02 	58.8        	19.68
00:20.3     	20.14 	58.8        	19.67
00:21.1     	20.21 	59.5        	19.70
00:22.0     	20.28 	58.9        	19.71
00:23.1     	20.35 	57.9        	19.76
00:23.8     	20.27 	57.5        	19.76
00:24.7     	20.30 	56.9        	19.78
00:25.6     	20.34 	56.1        	19.81
00:26.4     	20.36 	55.9        	19.83
00:27.4     	20.43 	55.8        	19.84
00:28.3     	20.42 	55.7        	19.86
00:29.1     	20.41 	55.9        	19.88
00:30.0     	20.38 	56.4        	19.90
00:30.9     	20.46 	56.1        	19.92
00:31.8     	20.78 	54.6        	19.94
00:32.7     	21.03 	53.8        	19.96
00:33.7     	20.97 	54.0        	19.99
00:34.6     	20.90 	54.3        	20.03
00:35.5     	20.96 	54.0        	20.10
00:36.4     	20.96 	54.4        	20.07
00:37.2     	18.87 	56.0        	20.04
00:38.1     	16.33 	61.5        	20.01
00:39.0     	14.50 	66.8        	19.95
00:39.9     	13.04 	71.8        	19.87
00:40.8     	11.84 	76.3        	19.78
00:41.7     	10.91 	80.0        	19.61
00:42.6     	10.15 	83.3        	19.44
00:43.5     	9.60  	85.7        	19.28
00:44.4     	9.21  	87.4        	19.08
00:45.3     	8.97  	88.3        	18.86
00:46.2     	8.78  	88.8        	18.56
00:47.1     	8.73  	88.1        	18.26
