Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:15.4     	14.24 	63.5        	16.75
02:16.3     	14.16 	60.4        	16.72
02:17.2     	14.02 	60.1        	16.71
02:18.1     	13.91 	59.7        	16.70
02:19.0     	13.81 	59.6        	16.72
02:19.9     	13.80 	60.6        	16.74
02:20.8     	13.86 	61.4        	16.75
02:21.7     	13.90 	61.7        	16.75
02:22.5     	13.97 	62.5        	16.76
02:23.4     	14.00 	63.4        	16.72
02:24.4     	13.99 	65.4        	16.67
02:25.3     	13.98 	65.3        	16.61
02:26.2     	13.94 	65.4        	16.56
02:27.1     	13.92 	63.9        	16.50
02:28.0     	13.87 	64.6        	16.45
02:28.9     	13.82 	64.8        	16.36
02:29.8     	13.81 	63.3        	16.29
02:30.6     	13.77 	63.9        	16.19
02:31.5     	13.68 	64.1        	16.08
02:32.4     	13.70 	63.7        	15.99
02:33.3     	13.62 	63.7        	15.89
02:34.3     	13.58 	63.8        	15.80
02:35.2     	13.60 	64.0        	15.74
02:36.0     	13.65 	63.9        	15.70
02:36.9     	13.63 	62.8        	15.62
02:37.8     	13.64 	62.7        	15.58
02:38.7     	13.65 	64.4        	15.54
02:39.6     	13.73 	64.9        	15.53
02:40.5     	13.78 	62.5        	15.51
02:41.4     	13.76 	62.0        	15.47
02:42.3     	13.75 	61.8        	15.46
02:43.2     	13.78 	61.7        	15.45
02:44.0     	13.78 	63.4        	15.44
02:45.0     	13.87 	64.1        	15.42
02:45.9     	14.03 	65.0        	15.44
02:46.8     	14.14 	64.6        	15.47
02:47.7     	14.18 	61.6        	15.48
02:48.6     	14.05 	60.6        	15.50
02:49.5     	14.05 	62.4        	15.54
02:50.4     	14.11 	64.2        	15.57
02:51.3     	14.19 	63.0        	15.61
02:52.1     	14.31 	63.9        	15.68
02:53.0     	14.51 	66.2        	15.74
02:53.9     	14.69 	64.6        	15.80
02:54.8     	14.75 	63.2        	15.87
02:55.7     	14.76 	62.3        	15.94
02:56.7     	14.60 	60.1        	16.01
02:57.5     	14.60 	61.6        	16.07
02:58.5     	14.52 	60.5        	16.14
02:59.4     	14.50 	60.4        	16.20
03:00.2     	14.54 	62.0        	16.26
03:01.1     	14.52 	62.8        	16.31
03:02.0     	14.53 	63.0        	16.36
03:02.9     	14.53 	63.7        	16.39
03:03.8     	14.47 	64.6        	16.44
03:04.7     	14.51 	66.0        	16.47
03:05.5     	14.44 	63.5        	16.50
03:06.4     	14.41 	65.4        	16.53
03:07.5     	14.37 	65.1        	16.55
03:08.3     	14.38 	66.9        	16.57
03:09.2     	14.37 	64.5        	16.57
03:10.1     	14.29 	65.4        	16.56
03:11.0     	14.25 	65.0        	16.56
03:11.9     	14.17 	64.7        	16.55
03:12.8     	14.21 	65.2        	16.55
03:13.6     	14.19 	66.2        	16.54
03:14.5     	14.20 	65.0        	16.51
03:15.4     	14.18 	64.8        	16.50
03:16.3     	14.25 	64.4        	16.52
03:17.2     	14.29 	62.5        	16.55
03:18.1     	14.27 	63.2        	16.59
03:19.1     	14.39 	62.8        	16.64
03:20.0     	14.41 	64.2        	16.69
03:20.9     	14.49 	64.8        	16.73
03:21.7     	14.54 	64.2        	16.77
03:22.6     	14.50 	64.1        	16.74
03:23.5     	14.41 	64.6        	16.70
03:24.4     	14.26 	63.6        	16.67
03:25.3     	14.11 	62.1        	16.66
03:26.2     	14.04 	63.2        	16.64
03:27.1     	14.01 	63.4        	16.61
03:27.9     	13.99 	63.0        	16.62
03:28.9     	14.00 	63.6        	16.64
03:29.7     	14.02 	64.2        	16.66
03:30.7     	14.02 	63.9        	16.66
03:31.6     	14.07 	65.6        	16.67
03:32.5     	14.12 	66.2        	16.67
03:33.4     	14.16 	66.3        	16.66
03:34.3     	14.18 	64.2        	16.65
03:35.1     	14.12 	63.6        	16.60
03:36.0     	14.05 	62.2        	16.55
03:36.9     	14.02 	61.4        	16.51
03:37.8     	13.86 	59.6        	16.46
03:38.7     	13.74 	61.2        	16.44
03:39.6     	13.75 	62.7        	16.42
03:40.5     	13.82 	62.7        	16.40
03:41.5     	13.92 	63.1        	16.36
03:42.4     	14.02 	63.6        	16.34
03:43.2     	14.11 	65.9        	16.34
03:44.1     	14.18 	65.6        	16.33
03:45.0     	14.21 	64.8        	16.33
03:45.9     	14.24 	64.6        	16.35
03:46.8     	14.29 	63.2        	16.36
03:47.7     	14.28 	63.5        	16.38
03:48.5     	14.24 	62.9        	16.38
03:49.4     	14.20 	64.3        	16.38
03:50.3     	14.23 	64.7        	16.39
03:51.3     	14.21 	65.2        	16.40
03:52.2     	14.16 	63.3        	16.41
03:53.1     	14.04 	62.8        	16.40
03:54.0     	13.91 	63.2        	16.35
03:54.9     	13.75 	62.5        	16.28
03:55.8     	13.61 	62.1        	16.20
03:56.6     	13.59 	61.9        	16.18
03:57.5     	13.59 	61.7        	16.17
03:58.4     	13.54 	60.4        	16.16
03:59.3     	13.45 	60.1        	16.17
04:00.2     	13.49 	61.7        	16.19
04:01.1     	13.64 	63.2        	16.18
04:02.1     	13.61 	64.3        	16.17
04:03.0     	13.60 	63.7        	16.16
04:03.9     	13.58 	61.7        	16.17
04:04.7     	13.65 	62.9        	16.19
04:05.6     	13.82 	64.9        	16.23
04:06.5     	13.99 	63.2        	16.26
04:07.4     	14.01 	64.7        	16.27
04:08.3     	14.05 	64.8        	16.29
04:09.2     	13.99 	63.3        	16.31
04:10.1     	13.89 	62.3        	16.33
04:10.9     	13.82 	63.0        	16.35
04:11.9     	13.78 	62.4        	16.36
04:12.9     	13.75 	62.7        	16.35
04:13.7     	13.69 	63.7        	16.35
04:14.6     	13.70 	62.7        	16.34
04:15.5     	13.66 	61.8        	16.32
04:16.4     	13.59 	62.5        	16.28
04:17.3     	13.54 	62.5        	16.23
04:18.2     	13.52 	61.5        	16.18
04:19.0     	13.49 	62.1        	16.14
04:19.9     	13.53 	61.8        	16.11
04:20.8     	13.58 	64.8        	16.12
04:21.7     	13.61 	63.8        	16.11
04:22.6     	13.65 	62.5        	16.09
04:23.6     	13.71 	62.1        	16.07
04:24.5     	13.76 	61.9        	16.06
04:25.4     	13.79 	62.6        	16.03
04:26.3     	13.80 	62.6        	16.02
04:27.1     	13.80 	62.8        	16.03
04:28.0     	13.76 	64.7        	15.99
04:28.9     	13.71 	65.9        	15.95
04:29.8     	13.78 	64.9        	15.95
04:30.7     	13.91 	65.1        	15.97
04:31.6     	14.01 	65.8        	15.99
04:32.5     	14.06 	64.5        	15.99
04:33.5     	14.07 	61.9        	16.00
04:34.4     	13.82 	59.3        	16.00
04:35.2     	13.71 	58.8        	16.03
04:36.1     	13.75 	58.9        	16.09
04:37.0     	13.77 	59.5        	16.15
04:37.9     	13.89 	63.9        	16.17
04:38.8     	14.06 	63.7        	16.15
04:39.7     	14.05 	63.5        	16.14
04:40.5     	14.05 	65.1        	16.13
04:41.4     	14.11 	63.6        	16.14
04:42.3     	14.22 	63.5        	16.16
04:43.2     	14.25 	61.5        	16.19
04:44.1     	14.20 	61.8        	16.21
04:45.1     	14.23 	62.3        	16.20
04:46.0     	14.17 	61.2        	16.19
04:46.9     	14.13 	62.5        	16.19
04:47.8     	14.11 	64.1        	16.18
