Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
02:14.0     	10.82 	93.7      	11.70
02:14.9     	10.83 	93.7      	11.67
02:15.8     	10.82 	93.6      	11.65
02:16.7     	10.82 	93.6      	11.63
02:17.6     	10.82 	93.4      	11.61
02:18.5     	10.82 	93.5      	11.60
02:19.4     	10.81 	93.5      	11.58
02:20.3     	10.81 	93.5      	11.56
02:21.1     	10.81 	93.5      	11.54
02:22.0     	10.81 	93.5      	11.52
02:23.0     	10.81 	93.5      	11.51
02:23.9     	10.81 	93.5      	11.49
02:24.8     	10.82 	93.5      	11.47
02:25.7     	10.82 	93.5      	11.46
02:26.5     	10.82 	93.5      	11.44
02:27.4     	10.82 	93.4      	11.43
02:28.3     	10.82 	93.4      	11.41
02:29.2     	10.82 	93.4      	11.40
02:30.1     	10.82 	93.4      	11.38
02:31.0     	10.82 	93.3      	11.37
02:31.9     	10.81 	93.4      	11.36
02:32.8     	10.81 	93.4      	11.34
02:33.8     	10.81 	93.4      	11.33
02:34.6     	10.81 	93.4      	11.32
02:35.5     	10.81 	93.4      	11.31
02:36.4     	10.81 	93.3      	11.30
02:37.3     	10.81 	93.2      	11.29
02:38.2     	10.80 	93.1      	11.28
02:39.1     	10.80 	93.0      	11.26
02:40.0     	10.79 	93.0      	11.25
02:40.9     	10.79 	93.0      	11.24
02:41.8     	10.79 	93.1      	11.23
02:42.6     	10.78 	93.2      	11.23
02:43.5     	10.78 	93.2      	11.22
02:44.5     	10.79 	93.2      	11.21
02:45.4     	10.81 	93.1      	11.20
02:46.3     	10.82 	93.1      	11.20
02:47.2     	10.83 	93.1      	11.19
02:48.1     	10.83 	93.1      	11.19
02:49.0     	10.83 	93.2      	11.18
02:49.9     	10.84 	93.2      	11.18
02:50.7     	10.85 	93.2      	11.17
02:51.6     	10.85 	93.2      	11.17
02:52.5     	10.84 	93.3      	11.16
02:53.4     	10.83 	93.4      	11.16
02:54.3     	10.82 	93.4      	11.15
02:55.2     	10.82 	93.5      	11.15
02:56.1     	10.80 	93.6      	11.15
02:57.0     	10.81 	93.5      	11.14
02:58.0     	10.81 	93.6      	11.14
02:58.8     	10.81 	93.6      	11.13
02:59.7     	10.81 	93.6      	11.13
03:00.6     	10.82 	93.6      	11.13
03:01.5     	10.82 	93.6      	11.12
03:02.4     	10.82 	93.6      	11.12
03:03.3     	10.84 	93.5      	11.11
03:04.1     	10.84 	93.6      	11.11
03:05.0     	10.83 	93.6      	11.11
03:05.9     	10.83 	93.6      	11.10
03:06.9     	10.83 	93.6      	11.10
03:07.8     	10.83 	93.6      	11.09
03:08.7     	10.83 	93.5      	11.08
03:09.6     	10.82 	93.5      	11.08
