Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:14.7     	11.36 	94.1    	12.64
02:15.6     	11.38 	93.9    	12.60
02:16.5     	11.42 	93.6    	12.56
02:17.8     	11.46 	93.3    	12.51
02:18.2     	11.42 	93.5    	12.47
02:19.1     	11.41 	93.6    	12.45
02:20.0     	11.39 	93.8    	12.42
02:21.0     	11.37 	93.9    	12.41
02:21.9     	11.37 	94.0    	12.38
02:22.8     	11.35 	94.1    	12.36
02:23.7     	11.34 	94.1    	12.34
02:24.6     	11.34 	94.1    	12.32
02:25.4     	11.35 	94.1    	12.30
02:26.3     	11.36 	94.0    	12.28
02:27.2     	11.37 	94.1    	12.26
02:28.1     	11.37 	94.0    	12.24
02:29.0     	11.39 	93.9    	12.22
02:29.9     	11.40 	93.8    	12.20
02:30.8     	11.41 	93.9    	12.18
02:31.7     	11.41 	94.0    	12.16
02:32.7     	11.41 	93.9    	12.13
02:33.5     	11.39 	93.8    	12.11
02:34.4     	11.38 	93.8    	12.09
02:35.3     	11.37 	93.7    	12.08
02:36.2     	11.36 	93.8    	12.06
02:37.1     	11.37 	93.5    	12.04
02:38.0     	11.37 	93.4    	12.03
02:38.9     	11.38 	93.4    	12.02
02:39.8     	11.38 	93.4    	12.01
02:40.7     	11.38 	93.4    	12.00
02:41.5     	11.39 	93.3    	11.99
02:42.4     	11.39 	93.3    	11.98
02:43.3     	11.40 	93.3    	11.97
02:44.2     	11.40 	93.3    	11.96
02:45.1     	11.40 	93.3    	11.95
02:46.1     	11.41 	93.3    	11.94
02:47.0     	11.41 	93.3    	11.93
02:47.9     	11.41 	93.3    	11.93
02:48.8     	11.41 	93.4    	11.92
02:49.6     	11.40 	93.4    	11.91
02:50.5     	11.40 	93.4    	11.90
02:51.4     	11.40 	93.5    	11.88
02:52.3     	11.40 	93.5    	11.87
02:53.2     	11.41 	93.4    	11.86
02:54.6     	11.43 	93.4    	11.86
02:54.8     	11.43 	93.4    	11.86
02:55.0     	11.44 	93.3    	11.85
02:55.9     	11.45 	93.3    	11.85
02:56.8     	11.47 	93.2    	11.84
02:57.6     	11.46 	93.2    	11.84
02:58.5     	11.45 	93.3    	11.83
02:59.6     	11.44 	93.3    	11.82
03:00.4     	11.42 	93.4    	11.82
03:01.3     	11.40 	93.5    	11.81
03:02.2     	11.38 	93.6    	11.80
03:03.1     	11.38 	93.7    	11.80
03:04.0     	11.37 	93.7    	11.79
03:04.9     	11.37 	93.7    	11.78
03:05.7     	11.37 	93.7    	11.77
03:06.7     	11.37 	93.7    	11.77
03:07.6     	11.37 	93.7    	11.76
03:08.4     	11.37 	93.7    	11.75
03:09.3     	11.37 	93.7    	11.75
03:10.2     	11.36 	93.8    	11.74
03:11.1     	11.35 	93.8    	11.74
03:12.1     	11.34 	93.8    	11.73
03:13.0     	11.34 	93.9    	11.73
03:13.8     	11.33 	93.9    	11.72
03:14.8     	11.33 	93.9    	11.72
03:15.7     	11.32 	93.9    	11.71
03:16.5     	11.33 	93.9    	11.71
03:17.4     	11.32 	93.9    	11.70
03:18.3     	11.32 	93.9    	11.70
03:19.2     	11.33 	93.8    	11.69
03:20.1     	11.32 	93.8    	11.68
03:21.0     	11.31 	93.7    	11.67
03:21.9     	11.31 	93.6    	11.66
03:22.8     	11.32 	93.6    	11.66
03:23.7     	11.32 	93.6    	11.65
03:24.5     	11.32 	93.6    	11.64
03:25.5     	11.32 	93.6    	11.63
03:26.4     	11.32 	93.6    	11.63
03:27.3     	11.33 	93.6    	11.62
03:28.2     	11.33 	93.6    	11.61
03:29.1     	11.35 	93.6    	11.61
03:30.0     	11.36 	93.6    	11.60
03:30.9     	11.37 	93.5    	11.60
03:31.8     	11.39 	93.5    	11.59
03:32.6     	11.40 	93.4    	11.59
03:33.5     	11.39 	93.4    	11.59
03:34.4     	11.39 	93.4    	11.58
03:35.3     	11.40 	93.4    	11.58
03:36.2     	11.40 	93.4    	11.58
03:37.1     	11.41 	93.3    	11.58
03:38.0     	11.40 	93.4    	11.57
03:39.0     	11.40 	93.5    	11.57
03:39.9     	11.39 	93.5    	11.57
03:40.7     	11.39 	93.5    	11.57
03:41.6     	11.38 	93.5    	11.57
03:42.5     	11.36 	93.6    	11.56
03:43.4     	11.36 	93.6    	11.56
03:44.3     	11.36 	93.7    	11.56
03:45.2     	11.36 	93.6    	11.56
03:46.1     	11.36 	93.6    	11.55
03:47.0     	11.36 	93.6    	11.55
03:47.9     	11.39 	93.5    	11.55
03:48.7     	11.41 	93.4    	11.55
03:49.6     	11.43 	93.3    	11.55
03:50.5     	11.42 	93.3    	11.55
03:51.4     	11.40 	93.4    	11.55
03:52.3     	11.39 	93.5    	11.55
03:53.3     	11.38 	93.6    	11.55
03:54.2     	11.37 	93.6    	11.54
03:55.1     	11.37 	93.7    	11.54
03:56.0     	11.36 	93.7    	11.54
03:56.8     	11.35 	93.7    	11.54
03:57.7     	11.36 	93.7    	11.54
03:58.6     	11.36 	93.7    	11.53
03:59.5     	11.36 	93.7    	11.53
04:00.4     	11.37 	93.6    	11.53
04:01.3     	11.37 	93.6    	11.53
04:02.2     	11.37 	93.6    	11.53
04:03.1     	11.37 	93.6    	11.52
04:04.0     	11.36 	93.7    	11.52
04:04.8     	11.36 	93.7    	11.52
04:05.7     	11.36 	93.7    	11.52
04:06.8     	11.36 	93.7    	11.52
04:07.6     	11.36 	93.7    	11.52
04:08.5     	11.37 	93.7    	11.52
04:09.4     	11.37 	93.7    	11.52
04:10.3     	11.37 	93.7    	11.51
04:11.2     	11.37 	93.7    	11.51
04:12.1     	11.37 	93.7    	11.51
04:12.9     	11.37 	93.7    	11.51
04:13.8     	11.37 	93.7    	11.51
04:14.7     	11.37 	93.7    	11.51
04:15.6     	11.37 	93.7    	11.51
04:16.5     	11.37 	93.8    	11.51
04:17.4     	11.37 	93.8    	11.51
04:18.3     	11.37 	93.8    	11.51
04:19.2     	11.37 	93.8    	11.51
04:20.2     	11.36 	93.8    	11.51
04:21.0     	11.36 	93.8    	11.51
04:21.9     	11.36 	93.9    	11.51
04:22.8     	11.36 	93.9    	11.51
04:23.7     	11.36 	93.9    	11.51
04:24.6     	11.36 	93.9    	11.51
04:25.5     	11.37 	93.8    	11.51
04:26.4     	11.36 	93.9    	11.51
04:27.3     	11.34 	93.9    	11.51
04:28.2     	11.33 	94.0    	11.50
04:29.0     	11.33 	94.0    	11.50
04:29.9     	11.32 	94.0    	11.50
04:30.8     	11.32 	94.0    	11.50
04:31.7     	11.32 	94.0    	11.50
04:32.6     	11.32 	94.0    	11.49
04:33.6     	11.32 	94.0    	11.49
04:34.5     	11.32 	94.0    	11.49
04:35.4     	11.32 	94.0    	11.49
04:36.3     	11.32 	94.1    	11.49
04:37.1     	11.32 	94.1    	11.49
04:38.1     	11.32 	94.1    	11.48
04:39.0     	11.33 	94.1    	11.48
04:39.8     	11.32 	94.1    	11.48
04:40.7     	11.32 	94.1    	11.48
04:41.6     	11.32 	94.1    	11.48
04:42.5     	11.33 	94.0    	11.48
04:43.4     	11.33 	94.0    	11.48
04:44.3     	11.33 	94.0    	11.48
04:45.1     	11.33 	94.0    	11.48
04:46.1     	11.33 	94.0    	11.47
04:47.1     	11.33 	94.0    	11.47
04:47.9     	11.33 	94.0    	11.47
04:48.8     	11.33 	94.0    	11.47
04:49.7     	11.33 	94.0    	11.47
04:50.6     	11.33 	94.0    	11.47
04:51.5     	11.32 	94.1    	11.47
04:52.4     	11.32 	94.1    	11.47
04:53.3     	11.31 	94.1    	11.47
04:54.2     	11.31 	94.1    	11.46
04:55.1     	11.32 	94.1    	11.46
04:55.9     	11.32 	94.1    	11.46
04:56.8     	11.31 	94.1    	11.46
