Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:13.2     	23.59 	46.7    	23.45
02:14.1     	23.56 	47.2    	23.46
02:15.1     	23.51 	47.1    	23.47
02:15.9     	23.52 	47.0    	23.48
02:16.8     	23.48 	46.9    	23.49
02:17.7     	23.46 	46.9    	23.49
02:18.6     	23.43 	46.8    	23.50
02:19.5     	23.38 	46.7    	23.51
02:20.4     	23.36 	47.0    	23.52
02:21.2     	23.34 	47.2    	23.52
02:22.3     	23.31 	47.2    	23.53
02:23.2     	23.30 	47.2    	23.54
02:24.0     	23.30 	47.5    	23.54
02:24.9     	23.28 	47.6    	23.55
02:25.8     	23.24 	47.9    	23.55
02:26.7     	23.20 	47.8    	23.56
02:27.6     	23.19 	47.7    	23.54
02:28.5     	23.13 	47.7    	23.55
02:29.4     	23.20 	47.5    	23.55
02:30.3     	23.18 	47.7    	23.55
02:31.2     	23.21 	48.2    	23.55
02:32.0     	23.20 	48.8    	23.54
02:32.9     	23.22 	48.6    	23.55
02:33.8     	23.43 	48.6    	23.58
02:34.7     	23.63 	48.5    	23.61
02:35.6     	23.71 	48.5    	23.63
02:36.6     	23.63 	47.9    	23.62
02:37.5     	23.57 	47.0    	23.64
02:38.4     	23.44 	46.6    	23.66
02:39.3     	23.45 	47.8    	23.66
02:40.1     	23.49 	47.9    	23.67
02:41.0     	23.56 	47.9    	23.66
02:41.9     	23.57 	48.1    	23.66
02:42.8     	23.58 	47.6    	23.67
02:43.7     	23.53 	47.9    	23.67
02:44.6     	23.57 	47.6    	23.68
02:45.5     	23.60 	47.4    	23.69
02:46.4     	23.53 	47.0    	23.68
02:47.3     	22.72 	44.5    	23.68
02:48.1     	21.70 	44.9    	23.66
02:49.0     	20.36 	47.9    	23.64
02:50.0     	19.56 	49.2    	23.58
02:50.9     	18.37 	48.6    	23.43
02:51.8     	17.20 	53.8    	23.19
02:52.7     	16.16 	54.4    	23.05
02:53.6     	15.45 	54.6    	22.85
02:54.5     	15.08 	59.1    	22.65
02:55.4     	14.91 	58.6    	22.46
02:56.2     	14.78 	58.2    	22.28
02:57.1     	14.64 	57.7    	22.09
02:58.0     	14.63 	59.7    	21.90
02:58.9     	14.77 	62.0    	21.72
02:59.8     	14.70 	60.3    	21.47
03:00.7     	14.67 	62.2    	21.27
03:01.6     	14.85 	64.9    	21.12
03:02.5     	15.23 	65.9    	21.01
03:03.5     	15.55 	63.8    	20.90
03:04.3     	15.55 	62.9    	20.78
03:05.2     	16.09 	62.3    	20.69
03:06.2     	16.97 	60.1    	20.67
03:07.0     	17.03 	59.0    	20.64
03:07.9     	16.65 	57.1    	20.58
03:08.8     	16.51 	58.5    	20.54
03:09.7     	16.35 	56.9    	20.48
03:10.6     	16.15 	57.2    	20.46
03:11.5     	15.98 	58.8    	20.44
03:12.3     	15.99 	59.0    	20.42
03:13.3     	15.80 	57.7    	20.38
03:14.2     	15.63 	57.7    	20.31
03:15.0     	15.53 	55.5    	20.24
03:15.9     	14.97 	53.0    	20.14
03:16.9     	14.52 	53.1    	20.05
03:17.8     	14.25 	53.1    	19.96
03:18.7     	14.06 	54.0    	19.85
03:19.6     	13.96 	55.0    	19.79
03:20.4     	13.96 	56.3    	19.74
03:21.4     	14.04 	57.0    	19.71
03:22.3     	14.13 	57.3    	19.68
03:23.1     	14.21 	57.6    	19.65
03:24.0     	14.17 	56.8    	19.62
03:24.9     	14.10 	55.7    	19.59
03:25.8     	14.03 	56.0    	19.54
03:27.1     	13.95 	56.3    	19.49
03:27.6     	14.00 	58.0    	19.43
03:28.5     	13.99 	57.4    	19.36
03:29.4     	13.97 	57.2    	19.26
03:30.4     	14.03 	57.2    	19.17
03:31.2     	14.07 	57.5    	19.08
03:32.1     	14.11 	57.1    	18.99
03:33.0     	14.18 	57.2    	18.91
03:33.9     	14.28 	57.3    	18.84
03:34.8     	14.39 	57.2    	18.78
03:35.7     	14.53 	57.5    	18.73
03:36.6     	14.63 	57.0    	18.69
03:37.5     	14.72 	57.3    	18.65
03:38.4     	14.79 	56.9    	18.62
03:39.2     	14.87 	57.4    	18.60
03:40.1     	14.96 	59.4    	18.55
03:41.0     	14.96 	61.0    	18.46
03:41.9     	14.91 	58.0    	18.38
03:42.8     	14.85 	56.8    	18.31
03:43.7     	14.92 	57.5    	18.26
03:44.7     	14.96 	57.6    	18.23
03:45.6     	15.02 	57.1    	18.21
03:46.5     	15.01 	57.6    	18.20
03:47.3     	14.95 	58.8    	18.18
03:48.2     	14.95 	61.1    	18.18
03:49.1     	14.88 	63.4    	18.19
03:50.0     	14.84 	56.6    	18.19
03:50.9     	14.99 	57.6    	18.20
03:51.8     	14.94 	58.2    	18.22
03:52.7     	14.94 	60.4    	18.24
03:53.6     	15.02 	61.9    	18.26
03:54.5     	15.10 	61.9    	18.29
03:55.3     	15.19 	61.4    	18.31
03:56.2     	15.26 	61.1    	18.35
03:57.2     	15.30 	60.6    	18.39
03:58.1     	15.28 	58.9    	18.43
03:59.0     	15.14 	57.5    	18.47
03:59.9     	15.12 	58.8    	18.48
04:00.8     	15.11 	58.7    	18.51
04:01.7     	14.93 	57.7    	18.53
04:02.6     	14.89 	59.3    	18.55
04:03.4     	14.96 	60.9    	18.56
04:04.3     	15.06 	61.3    	18.56
04:05.3     	15.24 	62.3    	18.56
04:06.1     	15.60 	64.8    	18.57
04:07.0     	15.83 	64.7    	18.58
04:07.9     	15.91 	65.1    	18.60
04:08.8     	15.54 	57.6    	18.62
04:09.7     	15.12 	54.2    	18.64
04:10.6     	14.84 	54.2    	18.66
04:11.5     	14.69 	54.5    	18.67
04:12.5     	14.61 	54.8    	18.68
04:13.4     	14.55 	55.2    	18.69
