Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
02:13.9     	12.07 	64.7      	14.75
02:14.9     	12.11 	64.8      	14.69
02:15.8     	12.12 	65.5      	14.62
02:16.7     	12.04 	66.1      	14.56
02:17.6     	12.02 	66.8      	14.50
02:18.5     	12.04 	68.0      	14.45
02:19.4     	12.06 	68.4      	14.40
02:20.3     	12.04 	68.2      	14.35
02:21.1     	12.04 	68.0      	14.30
02:22.0     	12.04 	68.0      	14.26
02:22.9     	12.03 	67.9      	14.22
02:23.8     	12.05 	68.0      	14.18
02:24.7     	12.07 	68.1      	14.14
02:25.6     	12.07 	68.2      	14.10
02:26.5     	12.06 	68.3      	14.07
02:27.4     	12.03 	68.4      	14.04
02:28.4     	12.02 	67.3      	14.00
02:29.2     	12.06 	66.5      	13.97
02:30.1     	12.11 	66.2      	13.94
02:31.0     	12.11 	65.2      	13.91
02:31.9     	12.13 	64.6      	13.88
02:32.8     	12.11 	64.6      	13.86
02:33.7     	12.05 	64.1      	13.83
02:34.6     	11.99 	63.8      	13.80
02:35.5     	11.98 	63.7      	13.78
02:36.4     	12.00 	64.0      	13.75
02:37.2     	11.99 	64.3      	13.73
02:38.1     	12.01 	64.4      	13.71
02:39.0     	12.02 	64.4      	13.68
02:39.9     	12.03 	64.5      	13.66
02:40.8     	12.06 	64.5      	13.64
02:41.8     	12.09 	65.0      	13.62
02:42.7     	12.10 	65.7      	13.60
02:43.6     	12.12 	66.1      	13.58
02:44.5     	12.18 	66.6      	13.57
02:45.3     	12.22 	66.9      	13.55
02:46.2     	12.28 	67.2      	13.54
02:47.2     	12.31 	67.1      	13.52
02:48.0     	12.33 	66.2      	13.51
02:48.9     	12.36 	65.4      	13.49
02:49.8     	12.37 	65.2      	13.48
02:50.7     	12.37 	65.4      	13.46
02:51.6     	12.37 	65.6      	13.44
02:52.5     	12.37 	65.7      	13.44
02:53.3     	12.35 	66.0      	13.43
02:54.3     	12.34 	66.2      	13.42
02:55.2     	12.31 	66.7      	13.41
02:56.1     	12.30 	66.9      	13.40
02:57.0     	12.26 	67.4      	13.39
02:57.9     	12.23 	67.5      	13.39
02:58.8     	12.18 	68.2      	13.38
02:59.7     	12.17 	68.3      	13.37
03:00.6     	12.16 	67.3      	13.36
03:01.5     	12.13 	66.4      	13.35
03:02.4     	12.11 	66.0      	13.34
03:03.3     	12.10 	65.6      	13.33
03:04.1     	12.14 	65.6      	13.32
03:05.0     	12.18 	65.6      	13.31
03:05.9     	12.23 	65.7      	13.30
03:06.8     	12.24 	65.7      	13.29
03:07.7     	12.25 	65.4      	13.28
03:08.6     	12.30 	65.1      	13.27
03:09.5     	12.36 	65.2      	13.26
03:10.5     	12.40 	65.3      	13.25
03:11.4     	12.41 	65.2      	13.24
03:11.8     	12.43 	65.2      	13.24
03:12.2     	12.41 	65.2      	13.24
03:13.1     	12.35 	66.6      	13.23
03:14.0     	12.29 	67.7      	13.22
03:14.9     	12.24 	68.0      	13.21
03:15.8     	12.19 	67.7      	13.20
03:16.7     	12.18 	67.6      	13.19
03:17.5     	12.20 	67.4      	13.18
03:18.4     	12.21 	67.9      	13.16
03:19.4     	12.17 	68.6      	13.15
03:20.2     	12.11 	69.0      	13.13
03:21.1     	12.03 	68.6      	13.12
03:22.0     	11.99 	68.2      	13.11
03:23.0     	11.96 	68.3      	13.10
03:23.9     	11.91 	68.6      	13.08
03:24.8     	11.90 	68.4      	13.07
03:25.6     	11.90 	68.5      	13.05
03:26.5     	11.88 	68.8      	13.04
03:27.5     	11.89 	68.8      	13.02
03:28.3     	11.88 	68.9      	13.01
03:29.2     	11.86 	68.9      	12.99
03:30.1     	11.85 	68.9      	12.98
03:31.0     	11.85 	69.0      	12.96
03:31.9     	11.86 	69.4      	12.94
03:32.8     	11.84 	70.3      	12.93
03:33.6     	11.92 	70.7      	12.92
03:34.6     	11.99 	69.3      	12.90
03:35.6     	12.06 	68.8      	12.89
03:36.4     	12.08 	68.9      	12.88
03:37.3     	12.20 	68.4      	12.87
03:38.2     	12.26 	69.0      	12.86
03:39.1     	12.29 	68.4      	12.85
03:40.0     	12.30 	67.4      	12.85
03:41.3     	12.31 	66.4      	12.84
03:41.8     	12.36 	66.8      	12.83
03:42.7     	12.40 	66.3      	12.83
03:43.6     	12.39 	65.7      	12.83
03:44.4     	12.39 	65.5      	12.82
03:45.3     	12.35 	65.2      	12.82
03:46.2     	12.30 	64.8      	12.82
03:47.1     	12.22 	65.1      	12.81
03:48.0     	12.17 	65.2      	12.81
03:49.0     	12.10 	65.5      	12.80
03:49.9     	12.05 	65.7      	12.79
03:50.8     	12.10 	65.5      	12.79
03:51.7     	12.16 	65.3      	12.78
03:52.5     	12.17 	65.4      	12.78
03:53.4     	12.16 	65.6      	12.78
03:54.3     	12.10 	66.8      	12.77
03:55.2     	12.09 	67.3      	12.77
03:56.1     	12.11 	67.1      	12.77
03:57.0     	12.12 	66.1      	12.76
03:57.9     	12.11 	65.8      	12.76
03:58.8     	12.11 	66.0      	12.76
03:59.7     	12.11 	66.2      	12.76
04:00.5     	12.05 	65.1      	12.75
04:01.4     	11.98 	64.7      	12.75
04:02.4     	11.92 	65.0      	12.75
04:03.3     	11.83 	65.9      	12.74
04:04.2     	11.78 	66.9      	12.73
04:05.1     	11.77 	67.6      	12.72
04:06.0     	11.82 	67.0      	12.71
04:06.9     	11.97 	65.9      	12.70
04:07.8     	12.07 	65.2      	12.69
04:08.7     	12.15 	65.0      	12.68
04:09.5     	12.16 	64.5      	12.67
04:10.4     	12.13 	64.3      	12.67
04:11.4     	12.11 	64.6      	12.66
04:12.2     	12.07 	65.0      	12.66
04:13.1     	12.07 	64.9      	12.65
04:14.0     	12.08 	65.2      	12.65
04:14.9     	12.04 	65.5      	12.65
04:15.9     	12.02 	66.6      	12.65
04:16.8     	12.06 	65.8      	12.65
04:17.6     	12.12 	65.5      	12.64
04:18.5     	12.11 	64.6      	12.64
04:19.4     	12.03 	64.4      	12.64
04:20.3     	12.02 	64.8      	12.63
04:21.2     	11.99 	64.2      	12.63
04:22.1     	11.99 	65.1      	12.62
04:23.0     	11.95 	65.9      	12.62
04:23.9     	11.90 	65.3      	12.61
04:24.8     	11.87 	64.0      	12.61
04:25.6     	11.85 	63.1      	12.60
04:26.5     	11.81 	63.0      	12.59
04:27.5     	11.76 	63.5      	12.58
04:28.4     	11.72 	64.2      	12.57
04:29.3     	11.69 	64.2      	12.56
04:30.2     	11.65 	64.4      	12.55
04:31.1     	11.63 	64.7      	12.53
04:32.0     	11.60 	65.2      	12.51
04:32.9     	11.59 	64.5      	12.50
04:33.7     	11.60 	64.5      	12.49
04:34.6     	11.62 	64.9      	12.48
04:35.6     	11.67 	63.8      	12.46
04:36.4     	11.70 	63.7      	12.45
04:37.3     	11.74 	64.3      	12.44
04:38.2     	11.76 	64.3      	12.43
04:39.1     	11.78 	64.5      	12.42
04:40.0     	11.81 	63.9      	12.41
04:40.9     	11.86 	63.0      	12.40
04:41.8     	11.85 	62.8      	12.39
04:42.8     	11.87 	62.8      	12.39
04:43.7     	11.85 	62.7      	12.38
04:44.5     	11.86 	62.6      	12.37
04:45.4     	11.85 	62.8      	12.37
04:46.3     	11.79 	62.8      	12.36
04:47.2     	11.74 	62.8      	12.35
04:48.1     	11.74 	64.3      	12.35
04:49.0     	11.73 	63.8      	12.33
04:49.9     	11.72 	63.7      	12.32
04:50.8     	11.72 	63.7      	12.31
04:51.7     	11.74 	63.2      	12.30
04:52.5     	11.77 	62.9      	12.30
04:53.4     	11.81 	62.7      	12.29
04:54.3     	11.80 	62.8      	12.29
04:55.2     	11.81 	62.7      	12.29
04:56.2     	11.80 	63.0      	12.28
04:57.1     	11.77 	64.1      	12.28
04:58.0     	11.72 	65.0      	12.28
04:58.9     	11.69 	64.8      	12.28
04:59.8     	11.71 	64.2      	12.27
05:00.6     	11.74 	64.2      	12.27
05:01.5     	11.80 	64.7      	12.27
05:02.4     	11.84 	64.9      	12.26
05:03.3     	11.86 	64.8      	12.26
05:04.2     	11.88 	63.8      	12.26
05:05.1     	11.90 	63.2      	12.26
05:06.0     	11.92 	63.0      	12.26
05:06.9     	12.00 	63.1      	12.26
05:07.8     	12.10 	62.7      	12.27
05:08.6     	12.25 	62.2      	12.27
05:09.6     	12.26 	61.7      	12.28
05:10.5     	12.19 	61.6      	12.28
05:11.4     	12.18 	61.4      	12.29
05:12.3     	12.17 	61.6      	12.30
05:13.2     	12.15 	61.7      	12.31
05:14.1     	12.12 	61.6      	12.32
05:15.0     	12.10 	61.6      	12.32
05:15.9     	12.08 	61.7      	12.33
05:16.7     	12.06 	62.2      	12.34
05:17.6     	12.00 	63.4      	12.34
05:18.5     	11.92 	64.9      	12.35
05:19.4     	11.85 	65.9      	12.35
05:20.3     	11.85 	65.5      	12.36
05:21.2     	11.86 	64.8      	12.36
05:22.1     	11.89 	64.3      	12.36
05:23.1     	11.93 	64.7      	12.36
05:24.0     	11.93 	64.7      	12.36
05:24.8     	11.91 	65.1      	12.37
05:25.7     	11.92 	65.2      	12.37
05:26.7     	11.93 	65.8      	12.37
05:27.5     	11.95 	66.2      	12.37
05:28.4     	12.00 	66.5      	12.36
05:29.3     	12.07 	65.4      	12.37
05:30.2     	12.15 	65.1      	12.37
05:31.1     	12.15 	64.7      	12.38
05:32.0     	12.10 	62.6      	12.38
05:32.8     	12.08 	62.6      	12.38
05:33.7     	12.05 	62.7      	12.39
05:34.7     	12.00 	63.2      	12.39
05:35.5     	11.95 	64.0      	12.40
05:36.5     	11.95 	65.1      	12.40
05:37.4     	11.92 	65.4      	12.41
05:38.3     	11.83 	65.8      	12.41
05:39.2     	11.80 	66.0      	12.41
05:40.1     	11.81 	65.5      	12.41
05:41.0     	11.84 	65.4      	12.41
05:41.9     	11.86 	65.6      	12.41
05:42.8     	11.87 	66.6      	12.41
05:43.6     	11.93 	66.3      	12.41
05:44.5     	11.93 	66.2      	12.41
05:45.4     	12.02 	65.0      	12.42
05:46.3     	12.06 	64.7      	12.42
05:47.2     	12.10 	64.9      	12.42
05:48.1     	12.14 	65.0      	12.42
05:49.0     	12.16 	65.1      	12.42
05:50.0     	12.14 	66.2      	12.43
05:50.9     	12.16 	67.0      	12.43
05:51.7     	12.21 	67.9      	12.44
05:52.6     	12.13 	66.4      	12.44
05:53.5     	12.06 	64.4      	12.44
05:54.4     	12.04 	63.3      	12.45
05:55.3     	12.00 	62.7      	12.45
05:56.2     	11.98 	62.3      	12.45
05:57.1     	11.97 	62.3      	12.45
05:58.0     	11.98 	62.7      	12.46
05:58.9     	11.99 	62.8      	12.46
05:59.7     	12.00 	62.8      	12.46
06:00.6     	12.05 	63.2      	12.46
06:01.5     	12.03 	62.3      	12.46
