Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:14.3     	13.62 	91.3        	14.43
02:15.2     	13.61 	91.3        	14.42
02:16.1     	13.62 	91.3        	14.40
02:16.9     	13.64 	91.3        	14.39
02:17.9     	13.66 	91.4        	14.37
02:18.8     	13.67 	91.5        	14.36
02:19.6     	13.67 	91.6        	14.35
02:20.5     	13.66 	91.9        	14.33
02:21.4     	13.63 	92.0        	14.32
02:22.3     	13.61 	92.0        	14.30
02:23.3     	13.59 	92.0        	14.29
02:24.2     	13.59 	91.9        	14.28
02:25.1     	13.58 	91.8        	14.26
02:26.0     	13.57 	91.7        	14.24
02:26.9     	13.56 	91.7        	14.23
02:27.7     	13.55 	91.7        	14.21
02:28.6     	13.55 	91.7        	14.20
02:29.5     	13.57 	91.8        	14.18
02:30.4     	13.56 	91.7        	14.17
02:31.3     	13.55 	91.6        	14.16
02:32.2     	13.55 	91.6        	14.15
02:33.1     	13.56 	91.5        	14.14
02:34.0     	13.57 	91.5        	14.13
02:34.9     	13.56 	91.5        	14.12
02:35.7     	13.55 	91.5        	14.11
02:36.7     	13.55 	91.5        	14.10
02:37.6     	13.56 	91.6        	14.09
02:38.5     	13.57 	91.6        	14.09
02:39.4     	13.58 	91.6        	14.09
02:40.3     	13.59 	91.6        	14.07
02:41.2     	13.60 	91.5        	14.07
02:42.1     	13.61 	91.5        	14.06
02:43.0     	13.63 	91.5        	14.06
02:43.9     	13.64 	91.5        	14.05
02:44.7     	13.64 	91.5        	14.05
02:45.6     	13.64 	91.4        	14.04
02:46.5     	13.65 	91.4        	14.04
02:47.4     	13.65 	91.7        	14.04
02:48.3     	13.65 	91.7        	14.04
02:49.2     	13.66 	91.9        	14.03
02:50.1     	13.64 	92.1        	14.03
02:51.1     	13.61 	92.3        	14.03
02:52.0     	13.58 	92.6        	14.02
02:52.8     	13.56 	92.7        	14.02
02:53.7     	13.55 	92.8        	14.01
02:54.6     	13.54 	92.7        	14.00
02:55.5     	13.55 	92.6        	14.00
02:56.4     	13.57 	92.6        	13.99
02:57.3     	13.56 	92.5        	13.98
02:58.2     	13.57 	92.3        	13.98
02:59.1     	13.57 	92.1        	13.97
03:00.0     	13.58 	92.2        	13.96
03:00.8     	13.59 	92.1        	13.95
03:01.7     	13.60 	92.1        	13.94
03:02.6     	13.61 	92.1        	13.94
03:03.6     	13.62 	92.0        	13.93
03:04.5     	13.62 	91.9        	13.92
03:05.4     	13.63 	92.2        	13.92
03:06.3     	13.66 	92.3        	13.91
03:07.2     	13.64 	92.2        	13.91
03:08.1     	13.61 	92.3        	13.91
03:08.9     	13.59 	92.2        	13.90
03:09.8     	13.59 	92.2        	13.90
