Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:00.7     	--    	59.6        	
00:00.7     	--    	0x47 23.8000	
00:01.6     	--    	59.6        	--
00:02.5     	--    	59.6        	--
00:03.4     	--    	59.6        	--
00:04.3     	--    	59.6        	--
00:05.2     	--    	59.7        	--
00:06.1     	--    	59.7        	--
00:07.0     	--    	59.7        	--
00:07.7     	20.00 	63.6        	19.76
00:08.6     	20.02 	62.6        	19.76
00:09.5     	20.03 	62.6        	19.77
00:10.4     	20.04 	62.7        	19.77
00:11.3     	20.05 	62.8        	19.77
00:12.2     	20.04 	62.9        	19.77
00:13.1     	20.03 	62.9        	19.77
00:13.9     	20.01 	63.0        	19.77
00:14.8     	20.02 	62.9        	19.78
00:15.7     	20.02 	62.9        	19.78
00:16.6     	20.04 	62.8        	19.78
00:18.0     	20.06 	62.7        	19.78
00:18.2     	20.06 	62.7        	19.78
00:18.4     	20.09 	62.6        	19.78
00:19.3     	20.11 	62.6        	19.78
00:20.3     	20.12 	62.6        	19.79
00:21.2     	20.13 	62.6        	19.79
00:22.0     	20.12 	62.6        	19.79
00:22.9     	20.10 	62.7        	19.79
00:23.8     	20.09 	62.7        	19.79
00:24.7     	20.08 	62.7        	19.80
00:25.6     	20.07 	62.7        	19.80
00:26.5     	20.06 	62.7        	19.80
00:27.4     	20.04 	62.7        	19.80
00:28.3     	20.02 	62.8        	19.80
00:29.2     	20.01 	62.9        	19.80
00:30.0     	20.00 	62.9        	19.80
00:30.9     	19.99 	62.9        	19.81
00:31.8     	19.98 	62.9        	19.81
00:32.7     	19.98 	62.9        	19.81
00:33.6     	19.97 	62.9        	19.81
00:34.6     	19.96 	62.9        	19.81
00:35.5     	19.96 	62.9        	19.81
00:36.4     	19.96 	62.9        	19.81
00:37.3     	19.96 	62.9        	19.81
00:38.2     	19.96 	62.9        	19.81
00:39.0     	19.95 	62.9        	19.81
00:40.0     	19.95 	62.9        	19.82
00:40.9     	19.95 	62.9        	19.82
00:41.7     	19.93 	63.0        	19.82
00:42.6     	19.92 	63.0        	19.82
00:43.5     	19.91 	63.1        	19.82
00:44.4     	19.91 	63.0        	19.82
00:45.3     	19.91 	63.0        	19.82
00:46.2     	19.91 	63.0        	19.82
00:47.1     	19.91 	63.0        	19.82
00:48.0     	19.92 	63.0        	19.82
00:48.9     	19.93 	62.9        	19.82
00:49.8     	19.94 	62.9        	19.82
00:50.7     	19.95 	62.8        	19.82
00:51.6     	19.95 	62.9        	19.82
00:52.5     	19.94 	62.9        	19.82
00:53.4     	19.93 	62.9        	19.82
00:54.3     	19.92 	63.0        	19.82
00:55.2     	19.91 	63.0        	19.82
00:56.1     	19.90 	63.0        	19.82
00:57.0     	19.90 	63.0        	19.82
00:57.8     	19.90 	63.0        	19.83
00:58.7     	19.88 	63.1        	19.83
00:59.7     	19.87 	63.1        	19.83
01:00.5     	19.87 	63.1        	19.83
01:01.4     	19.89 	63.0        	19.85
01:02.3     	19.92 	63.1        	19.83
01:03.2     	19.96 	62.7        	19.84
01:04.1     	19.99 	62.6        	19.84
01:05.1     	20.02 	62.7        	19.80
01:05.9     	20.14 	63.3        	19.80
01:06.9     	20.25 	63.1        	19.81
01:07.8     	20.28 	62.9        	19.81
01:08.6     	20.28 	63.0        	19.81
01:09.5     	20.28 	63.3        	19.82
01:10.4     	20.28 	64.3        	19.83
01:11.3     	20.33 	63.9        	19.86
01:12.2     	20.33 	63.6        	19.86
01:13.1     	20.32 	63.1        	19.87
01:14.0     	20.35 	62.5        	19.88
01:14.9     	20.38 	62.1        	19.88
01:15.8     	20.39 	62.0        	19.89
01:16.6     	20.37 	62.0        	19.89
01:17.5     	20.35 	62.0        	19.90
01:18.5     	20.34 	62.1        	19.90
01:19.4     	20.33 	62.1        	19.91
01:20.3     	20.34 	62.3        	19.92
01:21.2     	20.35 	62.5        	19.92
01:22.1     	20.37 	62.5        	19.93
01:23.0     	20.41 	62.6        	19.93
01:23.9     	20.43 	62.6        	19.96
01:24.7     	20.44 	62.1        	20.00
01:25.6     	20.35 	62.3        	20.00
01:26.5     	20.33 	62.3        	20.00
01:27.4     	20.23 	62.5        	19.97
01:28.3     	20.20 	62.9        	19.97
01:29.2     	20.26 	64.1        	19.97
01:30.1     	20.25 	64.1        	19.98
01:31.0     	20.27 	63.5        	19.98
01:31.9     	20.23 	63.4        	19.99
01:32.7     	20.15 	63.6        	19.99
01:33.8     	20.12 	63.6        	20.00
01:34.7     	20.14 	63.6        	20.00
01:35.5     	20.13 	63.5        	20.00
01:36.4     	20.11 	63.6        	20.01
01:37.3     	20.09 	63.5        	20.01
01:38.2     	20.05 	63.6        	20.01
01:39.1     	20.01 	63.7        	20.02
01:40.0     	19.96 	63.8        	20.02
01:40.9     	19.92 	63.9        	20.02
01:41.8     	19.87 	63.9        	20.02
01:42.7     	19.84 	64.0        	20.03
01:43.5     	19.81 	64.0        	20.03
01:44.4     	19.79 	64.1        	20.03
01:45.3     	19.77 	64.1        	20.03
01:46.2     	19.75 	64.1        	20.03
01:47.1     	19.75 	64.1        	20.03
01:48.1     	19.75 	64.0        	20.03
01:49.0     	19.78 	63.9        	20.03
01:49.9     	19.80 	63.7        	20.02
01:50.8     	19.77 	63.8        	20.02
01:51.6     	19.77 	63.8        	20.03
01:52.5     	19.76 	63.8        	20.03
01:53.4     	19.75 	63.9        	20.02
01:54.3     	19.73 	63.9        	20.02
01:55.2     	19.73 	63.9        	20.03
01:56.1     	19.73 	63.9        	20.02
01:57.0     	19.79 	63.8        	20.02
01:57.9     	19.83 	63.8        	20.01
01:58.8     	19.81 	63.8        	20.01
01:59.6     	19.79 	63.9        	20.01
02:00.6     	19.78 	63.9        	20.01
02:01.5     	19.78 	63.9        	20.01
02:02.3     	19.77 	63.9        	20.01
02:03.3     	19.76 	63.8        	20.01
02:04.2     	19.74 	63.9        	20.01
02:05.1     	19.73 	63.9        	20.01
02:06.0     	19.71 	63.9        	20.01
02:06.9     	19.69 	63.9        	20.01
02:07.7     	19.68 	64.0        	20.00
02:08.7     	19.68 	63.9        	20.00
02:09.6     	19.67 	63.9        	20.00
02:10.4     	19.67 	63.9        	20.00
02:11.3     	19.67 	63.9        	20.00
02:12.2     	19.68 	63.8        	19.99
02:13.1     	19.68 	63.8        	19.99
02:14.0     	19.67 	63.9        	19.99
