Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:15.5     	19.93 	75.2    	21.67
02:16.4     	20.00 	75.1    	21.65
02:17.3     	20.08 	74.8    	21.63
02:18.2     	20.12 	74.7    	21.61
02:19.0     	20.19 	74.4    	21.59
02:20.0     	20.07 	74.8    	21.57
02:20.8     	19.97 	75.0    	21.56
02:21.8     	19.92 	75.1    	21.54
02:22.7     	19.88 	75.3    	21.52
02:23.6     	19.89 	75.2    	21.50
02:24.5     	19.91 	75.2    	21.48
02:25.4     	19.90 	75.2    	21.46
02:26.3     	19.81 	75.5    	21.44
02:27.2     	19.77 	75.6    	21.42
02:28.1     	19.77 	75.6    	21.40
02:28.9     	19.85 	75.3    	21.38
02:29.8     	19.98 	74.8    	21.36
02:30.7     	20.07 	74.6    	21.35
02:31.6     	20.18 	74.2    	21.33
02:32.5     	20.39 	73.5    	21.31
02:33.4     	20.39 	73.6    	21.30
02:34.3     	20.28 	73.9    	21.28
02:35.3     	20.16 	74.1    	21.27
02:36.2     	20.13 	74.1    	21.26
02:37.0     	20.18 	73.9    	21.25
02:37.9     	20.24 	73.8    	21.24
02:38.8     	20.25 	73.9    	21.22
02:39.7     	20.28 	73.9    	21.21
02:40.6     	20.22 	74.2    	21.21
02:41.5     	20.07 	74.7    	21.20
02:42.4     	20.05 	74.5    	21.19
02:43.3     	20.09 	74.3    	21.18
02:44.2     	20.18 	74.0    	21.17
02:45.0     	20.27 	73.8    	21.16
02:45.9     	20.33 	73.6    	21.15
02:46.8     	20.34 	73.5    	21.14
02:47.8     	20.43 	73.2    	21.13
02:48.7     	20.34 	73.8    	21.12
02:49.6     	20.26 	74.0    	21.12
02:50.5     	20.19 	74.1    	21.11
02:51.4     	20.21 	74.0    	21.10
02:52.3     	20.18 	74.1    	21.09
02:53.1     	20.14 	74.1    	21.08
02:54.0     	20.13 	74.1    	21.08
02:54.9     	20.08 	74.1    	21.07
02:55.8     	20.05 	74.1    	21.06
02:56.7     	20.13 	73.8    	21.05
02:57.6     	20.17 	73.8    	21.04
02:58.5     	20.20 	73.8    	21.03
02:59.4     	20.18 	73.8    	21.02
03:00.3     	20.11 	74.0    	21.01
03:01.2     	20.08 	74.0    	21.00
03:02.1     	20.04 	74.2    	20.99
03:03.0     	19.94 	74.5    	20.98
03:03.9     	19.84 	74.9    	20.96
03:04.8     	19.92 	74.5    	20.95
03:05.7     	20.04 	74.2    	20.94
03:06.6     	20.08 	74.2    	20.93
03:07.5     	20.15 	74.1    	20.92
03:08.4     	20.18 	73.9    	20.91
03:09.2     	20.22 	73.6    	20.90
03:10.1     	20.45 	72.8    	20.89
03:11.0     	20.40 	73.1    	20.88
03:11.9     	20.22 	73.7    	20.87
03:12.8     	20.15 	73.8    	20.87
03:13.7     	20.15 	73.7    	20.86
03:14.7     	19.99 	74.5    	20.85
03:15.6     	19.91 	74.6    	20.84
03:16.5     	19.92 	74.5    	20.83
03:17.3     	19.83 	75.1    	20.82
03:18.2     	19.70 	75.6    	20.80
03:19.2     	19.78 	75.0    	20.84
03:20.0     	20.02 	77.1    	20.83
03:20.9     	20.81 	74.3    	20.84
03:21.8     	21.24 	72.2    	20.84
03:22.7     	21.68 	70.4    	20.86
03:23.6     	22.33 	68.1    	20.86
03:24.5     	22.88 	66.4    	20.88
03:25.3     	23.33 	65.2    	20.92
03:26.2     	23.62 	64.5    	20.96
03:27.3     	23.76 	64.3    	21.00
03:28.1     	23.84 	63.6    	21.07
03:29.0     	22.25 	66.2    	21.11
03:29.9     	20.76 	70.3    	21.13
03:30.8     	19.41 	75.3    	21.14
03:31.7     	18.39 	79.4    	21.13
03:32.6     	17.62 	83.1    	21.08
03:33.4     	16.96 	86.1    	21.05
03:34.4     	16.35 	88.8    	20.99
03:35.3     	15.91 	90.9    	20.91
03:36.1     	15.49 	92.8    	20.83
03:37.0     	15.15 	94.0    	20.71
03:37.9     	14.87 	95.3    	20.58
03:38.8     	14.73 	96.6    	20.44
03:39.7     	14.61 	96.8    	20.20
03:40.6     	14.46 	97.2    	19.95
03:41.5     	14.40 	97.4    	19.77
03:42.5     	14.40 	97.4    	19.64
03:43.4     	14.43 	97.4    	19.51
03:44.2     	14.47 	97.7    	19.40
03:45.1     	14.48 	96.9    	19.28
03:46.0     	14.44 	96.2    	19.17
03:46.9     	14.42 	95.9    	19.07
03:47.8     	14.42 	96.0    	18.96
03:48.7     	14.52 	96.6    	18.86
03:49.5     	14.55 	96.5    	18.74
03:50.5     	14.54 	95.7    	18.62
03:51.4     	14.51 	95.1    	18.49
03:52.2     	14.50 	95.2    	18.37
03:53.1     	14.50 	94.7    	18.24
03:54.0     	14.36 	94.0    	18.08
03:55.0     	14.36 	94.3    	17.93
03:55.9     	14.35 	96.0    	17.74
03:56.8     	14.48 	95.2    	17.59
03:57.7     	14.52 	94.7    	17.45
03:58.6     	14.49 	93.2    	17.32
03:59.5     	14.39 	92.8    	17.19
04:00.3     	14.32 	92.9    	17.06
04:01.2     	14.27 	93.1    	16.95
04:02.1     	14.25 	93.4    	16.84
04:03.0     	14.26 	93.7    	16.75
04:03.9     	14.40 	94.4    	16.65
04:04.8     	14.46 	93.1    	16.53
04:05.7     	14.43 	93.3    	16.43
04:06.6     	14.42 	91.8    	16.33
04:07.5     	14.31 	91.5    	16.26
04:08.4     	14.29 	91.8    	16.19
04:09.3     	14.34 	92.2    	16.13
04:10.2     	14.33 	92.2    	16.06
04:12.1     	14.32 	91.8    	16.06
04:13.1     	14.32 	93.9    	15.79
04:13.8     	14.34 	96.1    	15.72
04:14.7     	14.45 	92.9    	15.67
04:15.6     	14.50 	93.2    	15.63
04:16.4     	14.48 	92.4    	15.58
04:17.6     	14.47 	92.9    	15.53
04:18.2     	14.55 	93.1    	15.50
04:19.1     	14.67 	93.2    	15.47
04:20.0     	14.75 	92.9    	15.44
04:20.9     	14.70 	92.6    	15.43
04:21.9     	14.58 	92.3    	15.41
04:22.8     	14.45 	92.5    	15.39
04:23.7     	14.41 	92.7    	15.37
04:24.5     	14.40 	92.8    	15.36
04:25.4     	14.34 	92.7    	15.34
04:26.4     	14.32 	92.9    	15.33
04:27.2     	14.31 	92.9    	15.31
04:28.1     	14.33 	92.9    	15.30
04:29.0     	14.36 	93.0    	15.28
04:29.9     	14.40 	92.9    	15.29
04:30.8     	14.35 	92.9    	15.28
04:31.7     	14.34 	92.8    	15.27
04:32.6     	14.33 	92.8    	15.26
04:33.4     	14.33 	92.9    	15.25
04:34.4     	14.29 	92.9    	15.24
04:35.4     	14.26 	92.9    	15.23
04:36.2     	14.24 	93.0    	15.22
04:37.1     	14.25 	93.0    	15.21
04:38.0     	14.22 	92.9    	15.21
04:38.9     	14.22 	92.8    	15.20
04:39.8     	14.26 	92.8    	15.19
04:40.7     	14.27 	93.0    	15.18
04:41.5     	14.29 	93.0    	15.17
04:42.4     	14.32 	93.0    	15.16
04:43.4     	14.36 	93.1    	15.16
04:44.2     	14.38 	92.5    	15.15
04:45.1     	14.32 	92.1    	15.14
04:46.0     	14.27 	92.2    	15.13
04:46.9     	14.24 	92.5    	15.12
04:47.9     	14.22 	92.7    	15.11
04:48.8     	14.22 	93.0    	15.11
04:49.7     	14.23 	93.0    	15.10
04:50.6     	14.25 	92.9    	15.09
04:51.5     	14.26 	92.8    	15.08
04:52.3     	14.24 	92.8    	15.08
04:53.2     	14.23 	92.9    	15.07
04:54.1     	14.22 	93.0    	15.06
04:55.0     	14.23 	92.9    	15.06
04:55.9     	14.21 	92.9    	15.05
04:56.8     	14.19 	92.9    	15.05
04:57.7     	14.18 	93.0    	15.04
04:58.6     	14.17 	93.1    	15.04
04:59.5     	14.19 	93.1    	15.04
05:00.3     	14.22 	93.1    	15.04
05:01.2     	14.27 	93.0    	15.04
05:02.2     	14.29 	93.1    	15.04
05:03.1     	14.30 	93.0    	15.04
05:04.0     	14.29 	93.1    	15.04
05:04.9     	14.30 	93.2    	15.04
05:05.8     	14.36 	93.4    	15.04
05:06.7     	14.40 	93.4    	15.04
05:07.6     	14.37 	93.4    	15.04
05:08.4     	14.43 	93.3    	15.04
05:09.3     	14.45 	93.3    	15.04
05:10.2     	14.47 	93.2    	15.04
05:11.1     	14.43 	93.2    	15.04
05:12.0     	14.40 	93.2    	15.04
05:12.9     	14.37 	93.3    	15.04
05:13.8     	14.37 	93.4    	15.03
05:14.7     	14.40 	93.4    	15.03
05:15.7     	14.37 	93.4    	15.03
05:16.5     	14.34 	93.5    	15.03
05:17.4     	14.35 	93.5    	15.02
05:18.3     	14.38 	93.6    	15.02
05:19.2     	14.41 	93.4    	15.02
05:20.1     	14.47 	93.3    	15.02
05:21.0     	14.52 	93.1    	15.02
05:21.9     	14.51 	93.4    	15.02
05:22.8     	14.49 	93.4    	15.03
05:23.7     	14.52 	93.4    	15.03
05:24.5     	14.55 	93.3    	15.03
05:25.4     	14.54 	93.0    	15.03
05:26.3     	14.51 	93.2    	15.04
05:27.2     	14.46 	93.3    	15.04
05:28.2     	14.42 	93.5    	15.04
05:29.1     	14.39 	93.6    	15.04
05:30.0     	14.35 	93.5    	15.03
05:30.9     	14.33 	93.6    	15.03
05:31.8     	14.32 	93.6    	15.02
05:32.6     	14.30 	93.5    	15.02
05:33.5     	14.29 	93.6    	15.01
05:34.4     	14.29 	93.6    	15.01
05:35.3     	14.29 	93.6    	15.00
05:36.2     	14.33 	94.1    	15.00
05:37.1     	14.35 	93.6    	14.99
05:38.0     	14.34 	93.6    	14.99
05:38.9     	14.36 	93.6    	14.99
05:39.8     	14.39 	93.5    	14.99
05:40.6     	14.36 	93.5    	14.98
05:41.6     	14.36 	93.7    	14.98
05:42.5     	14.33 	93.2    	14.97
05:43.4     	14.30 	93.3    	14.96
05:44.3     	14.27 	93.2    	14.95
05:45.2     	14.24 	93.3    	14.94
05:46.1     	14.22 	93.4    	14.93
05:47.0     	14.19 	93.5    	14.92
05:47.9     	14.20 	93.5    	14.90
