Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:14.3     	12.86 	92.5    	13.31
02:15.2     	12.86 	92.4    	13.29
02:16.0     	12.84 	92.3    	13.28
02:16.9     	12.83 	91.9    	13.26
02:17.9     	12.82 	91.7    	13.24
02:18.7     	12.81 	91.9    	13.22
02:19.6     	12.81 	92.0    	13.21
02:20.5     	12.81 	91.7    	13.19
02:21.4     	12.79 	91.6    	13.17
02:22.3     	12.78 	91.6    	13.16
02:23.2     	12.77 	91.6    	13.14
02:24.0     	12.77 	91.8    	13.13
02:25.0     	12.77 	91.7    	13.11
02:25.9     	12.78 	92.0    	13.10
02:26.8     	12.80 	92.0    	13.09
02:27.7     	12.81 	92.0    	13.08
02:28.6     	12.81 	92.1    	13.08
02:29.5     	12.81 	91.9    	13.07
02:30.4     	12.78 	91.8    	13.06
02:31.3     	12.75 	91.9    	13.05
02:32.1     	12.73 	92.1    	13.04
02:33.3     	12.71 	92.2    	13.03
02:33.9     	12.72 	92.3    	13.02
02:34.8     	12.73 	92.4    	13.01
02:35.8     	12.73 	92.3    	13.01
02:36.7     	12.73 	92.3    	13.00
02:37.6     	12.73 	92.4    	12.99
02:38.5     	12.73 	92.5    	12.99
02:39.4     	12.74 	92.5    	12.98
02:40.2     	12.74 	92.5    	12.98
02:41.1     	12.74 	92.6    	12.97
02:42.0     	12.75 	92.6    	12.97
02:42.9     	12.76 	92.6    	12.96
02:43.8     	12.79 	92.7    	12.96
02:44.7     	12.80 	92.6    	12.96
02:45.6     	12.79 	92.7    	12.96
02:46.5     	12.79 	92.7    	12.96
02:47.5     	12.80 	92.7    	12.96
02:48.3     	12.79 	92.6    	12.96
02:49.2     	12.78 	92.7    	12.96
02:50.1     	12.80 	92.8    	12.96
02:51.0     	12.80 	92.7    	12.96
02:51.9     	12.77 	92.7    	12.95
02:52.8     	12.74 	92.8    	12.95
02:53.7     	12.73 	92.8    	12.95
02:54.5     	12.72 	92.8    	12.94
02:55.5     	12.73 	92.8    	12.94
02:56.4     	12.71 	92.7    	12.94
02:57.2     	12.71 	92.7    	12.93
02:58.1     	12.70 	92.7    	12.93
02:59.1     	12.70 	92.7    	12.92
03:00.0     	12.69 	92.6    	12.92
03:00.9     	12.70 	92.7    	12.91
03:01.8     	12.70 	92.7    	12.91
03:02.6     	12.71 	92.7    	12.91
03:03.5     	12.71 	92.7    	12.90
03:04.4     	12.72 	92.8    	12.90
03:05.3     	12.73 	93.0    	12.90
03:06.2     	12.77 	92.8    	12.90
03:07.1     	12.76 	92.6    	12.90
03:07.9     	12.73 	92.5    	12.89
03:08.9     	12.72 	92.5    	12.89
03:09.9     	12.71 	92.8    	12.89
03:10.7     	12.72 	92.7    	12.89
03:11.6     	12.69 	92.4    	12.88
03:12.5     	12.68 	92.5    	12.88
03:13.4     	12.66 	92.6    	12.88
03:14.3     	12.67 	92.6    	12.87
03:15.2     	12.66 	92.6    	12.87
03:16.0     	12.66 	92.5    	12.87
03:16.9     	12.68 	92.6    	12.87
03:17.8     	12.71 	92.7    	12.87
03:18.7     	12.72 	92.3    	12.87
03:19.6     	12.71 	92.5    	12.87
03:20.6     	12.73 	92.9    	12.87
03:21.5     	12.74 	92.8    	12.87
03:22.4     	12.74 	92.9    	12.87
03:23.3     	12.73 	92.9    	12.87
03:24.1     	12.72 	93.0    	12.87
03:25.0     	12.74 	93.0    	12.87
03:25.9     	12.73 	93.0    	12.87
03:26.8     	12.72 	93.0    	12.87
03:27.7     	12.73 	93.1    	12.87
03:28.6     	12.74 	93.1    	12.87
03:29.4     	12.73 	92.7    	12.87
03:30.5     	12.71 	92.8    	12.87
03:31.4     	12.73 	93.0    	12.87
03:32.2     	12.71 	92.4    	12.86
03:33.1     	12.68 	92.1    	12.86
03:34.0     	12.66 	92.2    	12.85
03:34.9     	12.66 	92.4    	12.85
03:35.8     	12.66 	92.3    	12.84
03:36.7     	12.66 	92.3    	12.84
03:37.5     	12.67 	92.4    	12.84
03:38.4     	12.67 	92.5    	12.84
03:39.3     	12.69 	92.8    	12.84
03:40.2     	12.72 	92.9    	12.84
03:41.2     	12.71 	92.8    	12.84
03:42.1     	12.70 	92.7    	12.84
03:43.0     	12.69 	92.7    	12.84
03:43.9     	12.67 	92.8    	12.84
03:44.8     	12.66 	92.9    	12.83
03:45.6     	12.65 	92.9    	12.83
03:46.5     	12.66 	93.1    	12.83
03:47.4     	12.67 	93.0    	12.83
03:48.3     	12.68 	93.1    	12.83
03:49.2     	12.68 	93.0    	12.83
03:50.1     	12.68 	93.1    	12.83
03:51.0     	12.69 	93.2    	12.83
03:51.9     	12.72 	93.2    	12.83
03:52.8     	12.74 	93.1    	12.83
03:53.7     	12.74 	93.0    	12.84
03:54.6     	12.72 	93.1    	12.84
03:55.5     	12.72 	93.2    	12.84
03:56.4     	12.72 	93.2    	12.84
03:57.3     	12.73 	93.1    	12.84
03:58.2     	12.75 	93.1    	12.85
03:59.0     	12.77 	93.2    	12.85
03:59.9     	12.78 	93.0    	12.85
04:00.8     	12.77 	92.9    	12.86
04:01.7     	12.76 	92.8    	12.86
04:02.7     	12.76 	93.2    	12.86
04:03.6     	12.76 	93.3    	12.86
04:04.5     	12.75 	93.3    	12.87
04:05.4     	12.73 	93.3    	12.87
04:06.3     	12.70 	93.5    	12.87
04:07.1     	12.69 	93.6    	12.87
04:08.0     	12.70 	93.4    	12.87
04:08.9     	12.71 	93.5    	12.86
04:09.8     	12.68 	93.4    	12.86
04:10.7     	12.65 	93.5    	12.86
04:11.6     	12.67 	93.5    	12.86
04:12.6     	12.68 	93.6    	12.85
04:13.5     	12.70 	93.3    	12.85
04:14.4     	12.67 	93.3    	12.85
04:15.2     	12.65 	93.3    	12.84
04:16.1     	12.63 	93.4    	12.84
04:17.0     	12.62 	93.5    	12.84
04:17.9     	12.64 	93.6    	12.83
04:18.8     	12.64 	93.5    	12.83
04:19.7     	12.64 	93.4    	12.83
04:20.5     	12.63 	93.3    	12.82
04:21.4     	12.63 	93.3    	12.82
04:22.4     	12.64 	93.3    	12.82
04:23.2     	12.65 	93.1    	12.81
04:24.2     	12.65 	93.2    	12.81
04:25.1     	12.67 	93.3    	12.81
04:26.0     	12.67 	93.2    	12.81
04:26.9     	12.66 	93.2    	12.81
04:27.8     	12.66 	93.2    	12.81
04:28.6     	12.68 	93.1    	12.81
04:29.5     	12.67 	92.9    	12.81
04:30.4     	12.66 	92.8    	12.80
04:31.3     	12.63 	93.1    	12.80
04:32.2     	12.65 	93.2    	12.80
04:33.1     	12.65 	93.1    	12.80
04:34.0     	12.63 	93.1    	12.79
04:34.9     	12.64 	93.3    	12.79
04:35.9     	12.66 	92.9    	12.79
04:36.7     	12.64 	92.8    	12.79
04:37.6     	12.62 	92.9    	12.79
04:38.5     	12.61 	92.9    	12.78
