Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:14.7     	13.92 	92.9        	15.17
02:15.7     	13.94 	93.0        	15.14
02:16.6     	13.93 	93.0        	15.11
02:17.4     	13.92 	93.0        	15.08
02:18.3     	13.92 	93.3        	15.05
02:19.3     	13.94 	93.1        	15.01
02:20.1     	13.93 	92.7        	14.96
02:21.0     	13.92 	92.5        	14.92
02:21.9     	13.92 	92.4        	14.89
02:22.8     	13.91 	92.6        	14.86
02:23.7     	13.91 	92.6        	14.84
02:24.6     	13.91 	92.5        	14.82
02:25.5     	13.91 	92.5        	14.81
02:26.3     	13.91 	92.5        	14.79
02:27.3     	13.92 	92.6        	14.78
02:28.2     	13.92 	92.7        	14.77
02:29.1     	13.93 	92.8        	14.75
02:30.0     	13.94 	92.9        	14.74
02:30.9     	13.96 	93.0        	14.73
02:31.8     	13.98 	92.8        	14.72
02:32.7     	13.97 	92.9        	14.71
02:33.6     	13.99 	92.8        	14.70
02:34.4     	13.98 	92.9        	14.69
02:35.3     	13.95 	92.9        	14.68
02:36.2     	13.93 	92.9        	14.67
02:37.1     	13.91 	92.9        	14.66
02:38.1     	13.90 	92.9        	14.65
02:39.0     	13.89 	92.9        	14.64
02:39.8     	13.89 	92.8        	14.62
02:40.7     	13.89 	92.7        	14.60
02:41.6     	13.90 	92.6        	14.59
02:42.5     	13.91 	92.6        	14.58
02:43.4     	13.91 	92.7        	14.57
02:44.3     	13.91 	92.7        	14.56
02:45.2     	13.92 	92.6        	14.55
02:46.1     	13.92 	92.6        	14.55
02:47.0     	13.94 	92.7        	14.54
02:47.8     	13.94 	92.7        	14.54
02:48.8     	13.95 	92.7        	14.54
02:49.7     	13.94 	92.6        	14.53
02:50.6     	13.93 	92.7        	14.53
02:51.5     	13.91 	92.7        	14.52
02:52.4     	13.90 	92.7        	14.52
02:53.2     	13.91 	92.9        	14.51
02:54.2     	13.89 	92.7        	14.50
02:55.1     	13.89 	92.7        	14.49
02:55.9     	13.90 	92.8        	14.48
02:56.8     	13.91 	92.9        	14.48
02:57.7     	13.91 	92.8        	14.47
