Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
02:15.4     	16.42 	74.6    	16.41
02:16.2     	16.74 	74.4    	16.45
02:17.1     	16.75 	72.8    	16.49
02:18.0     	16.70 	74.1    	16.54
02:18.9     	16.72 	74.0    	16.58
02:19.9     	16.74 	73.1    	16.62
02:20.8     	16.50 	72.7    	16.65
02:21.6     	16.48 	72.7    	16.68
02:22.5     	16.34 	71.6    	16.71
02:23.4     	16.29 	71.8    	16.73
02:24.3     	16.03 	70.4    	16.74
02:25.2     	15.89 	71.5    	16.74
02:26.1     	15.94 	72.4    	16.74
02:27.0     	15.79 	71.4    	16.74
02:27.9     	15.82 	72.8    	16.74
02:28.8     	15.85 	72.3    	16.74
02:29.6     	16.07 	73.4    	16.74
02:30.5     	16.33 	73.4    	16.75
02:31.5     	16.43 	72.7    	16.76
02:32.4     	16.05 	68.3    	16.75
02:33.3     	15.74 	69.7    	16.75
02:34.2     	15.69 	72.9    	16.75
02:35.0     	15.86 	72.4    	16.75
02:36.0     	15.67 	70.9    	16.74
02:36.9     	15.53 	70.5    	16.73
02:37.7     	15.48 	72.4    	16.72
02:38.6     	15.52 	72.3    	16.70
02:39.5     	15.72 	74.8    	16.69
02:40.4     	15.84 	72.2    	16.68
02:41.3     	15.85 	73.2    	16.67
02:42.3     	15.97 	73.5    	16.67
02:43.1     	16.26 	75.1    	16.67
02:44.0     	16.41 	74.0    	16.68
02:45.0     	16.46 	73.0    	16.70
02:45.8     	16.36 	71.5    	16.71
02:46.7     	16.25 	71.0    	16.72
02:47.6     	16.37 	73.6    	16.74
02:48.5     	16.54 	74.0    	16.76
02:49.4     	16.66 	72.5    	16.78
02:50.3     	16.51 	71.3    	16.79
02:51.2     	16.43 	72.3    	16.81
02:52.0     	16.30 	71.3    	16.83
02:52.9     	16.29 	71.8    	16.84
02:53.9     	16.24 	71.4    	16.85
02:54.8     	16.29 	71.6    	16.87
02:55.7     	16.38 	71.6    	16.89
02:56.6     	16.52 	73.0    	16.91
02:57.5     	16.74 	73.7    	16.93
02:58.4     	17.03 	74.8    	16.96
02:59.3     	17.27 	75.0    	17.00
03:00.1     	17.46 	74.5    	17.03
03:01.0     	17.40 	72.9    	17.07
03:01.9     	17.35 	72.5    	17.11
03:02.8     	17.22 	71.8    	17.15
03:03.8     	16.91 	71.8    	17.19
03:04.7     	16.75 	72.0    	17.23
03:05.5     	16.62 	72.7    	17.26
03:06.5     	16.59 	72.5    	17.28
03:07.4     	16.37 	71.4    	17.30
03:08.2     	16.12 	71.9    	17.31
03:09.1     	16.10 	72.7    	17.32
03:10.0     	15.87 	71.1    	17.31
03:10.9     	15.76 	72.0    	17.30
03:11.8     	15.77 	73.1    	17.28
03:12.7     	15.94 	74.3    	17.27
03:13.6     	15.81 	70.6    	17.24
03:14.5     	15.65 	71.1    	17.21
03:15.4     	15.65 	72.4    	17.19
03:16.3     	15.64 	72.2    	17.15
03:17.2     	15.67 	73.4    	17.12
03:18.1     	15.95 	73.1    	17.09
03:19.0     	15.79 	69.7    	17.06
03:19.9     	15.62 	71.7    	17.01
03:20.8     	15.64 	71.0    	16.97
03:21.6     	15.54 	71.2    	16.93
03:22.5     	15.50 	71.3    	16.90
03:23.4     	15.69 	73.5    	16.87
03:24.3     	15.92 	72.6    	16.85
03:25.3     	16.00 	73.4    	16.83
03:26.2     	16.19 	71.5    	16.83
03:27.1     	16.05 	70.1    	16.81
03:28.0     	15.96 	71.3    	16.81
03:28.9     	16.16 	72.7    	16.81
03:29.7     	16.28 	71.9    	16.81
03:30.6     	16.38 	72.7    	16.81
03:31.5     	16.52 	74.0    	16.82
03:32.4     	16.68 	72.3    	16.83
03:33.3     	16.47 	70.2    	16.83
03:34.2     	16.32 	70.7    	16.84
03:35.1     	16.42 	72.2    	16.87
03:36.0     	16.66 	73.4    	16.88
03:37.0     	16.79 	71.5    	16.90
03:37.8     	16.33 	70.3    	16.91
03:38.7     	16.15 	69.6    	16.90
03:39.6     	15.71 	69.4    	16.87
03:40.5     	15.63 	69.9    	16.84
03:41.4     	15.52 	73.0    	16.81
03:42.3     	15.66 	70.5    	16.78
03:43.1     	15.76 	73.3    	16.75
03:44.0     	15.59 	68.4    	16.72
03:44.9     	15.38 	69.0    	16.69
03:45.8     	15.24 	68.3    	16.65
03:46.8     	15.23 	69.1    	16.63
03:47.7     	15.41 	71.2    	16.60
03:48.5     	15.70 	72.0    	16.58
03:49.4     	16.02 	72.3    	16.58
03:50.3     	16.13 	70.7    	16.58
03:51.2     	16.27 	72.2    	16.58
03:52.1     	16.42 	72.3    	16.59
03:53.0     	16.41 	70.8    	16.61
03:53.9     	16.37 	71.2    	16.63
03:54.8     	16.59 	71.2    	16.65
03:55.7     	16.48 	70.2    	16.67
03:56.5     	16.45 	69.1    	16.69
03:57.6     	16.48 	69.1    	16.69
03:57.9     	16.48 	71.9    	--
03:58.5     	16.48 	73.6    	--
03:59.3     	16.48 	71.9    	--
04:00.6     	16.48 	71.9    	16.77
04:01.1     	16.15 	70.1    	16.79
04:02.0     	16.19 	71.1    	16.80
04:02.9     	16.26 	71.9    	16.82
04:03.8     	16.30 	71.6    	16.84
04:04.6     	16.35 	72.0    	16.85
04:05.5     	16.44 	72.4    	16.87
04:06.4     	16.51 	68.7    	16.88
04:07.3     	15.89 	66.4    	16.86
04:08.3     	15.63 	67.9    	16.85
04:09.2     	15.69 	71.2    	16.84
04:10.1     	15.59 	69.1    	16.82
04:11.0     	15.82 	71.9    	16.81
04:11.9     	16.01 	72.0    	16.81
04:12.7     	16.09 	69.4    	16.79
04:13.6     	15.93 	70.9    	16.77
04:14.5     	15.98 	70.4    	16.77
04:15.4     	15.70 	67.9    	16.74
04:16.3     	15.75 	69.9    	16.72
04:17.2     	15.72 	69.5    	16.70
04:18.0     	15.56 	67.5    	16.67
04:18.9     	15.36 	68.9    	16.64
