Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	48.5    	
00:00.8     	--    	0x48 0  	
00:01.7     	--    	48.5    	--
00:02.6     	--    	48.5    	--
00:03.5     	--    	48.5    	--
00:04.4     	--    	48.5    	--
00:05.3     	--    	48.4    	--
00:06.2     	--    	48.5    	--
00:06.8     	20.48 	51.8    	20.43
00:07.8     	20.44 	51.7    	20.43
00:08.7     	20.41 	51.9    	20.43
00:09.6     	20.39 	51.9    	20.43
00:10.5     	20.36 	52.1    	20.43
00:11.4     	20.33 	52.2    	20.43
00:12.3     	20.37 	52.0    	20.43
00:13.2     	20.61 	51.6    	20.45
00:14.0     	20.85 	51.4    	20.44
00:14.9     	21.00 	51.0    	20.45
00:15.8     	21.11 	50.6    	20.46
00:16.7     	21.20 	50.5    	20.46
00:17.6     	21.30 	50.4    	20.43
00:18.5     	21.37 	50.3    	20.44
00:19.4     	21.61 	49.2    	20.55
00:20.4     	21.77 	49.9    	20.56
00:21.3     	21.80 	49.3    	20.59
00:22.1     	21.77 	49.3    	20.57
00:23.0     	22.18 	49.8    	20.62
00:23.9     	22.32 	47.2    	20.63
00:24.8     	22.12 	46.5    	20.67
00:25.7     	21.98 	46.6    	20.69
00:26.6     	22.01 	46.6    	20.71
00:27.5     	22.02 	46.7    	20.74
00:28.4     	21.97 	46.9    	20.76
00:29.3     	21.65 	46.3    	20.78
00:30.1     	20.02 	46.9    	20.74
00:31.0     	18.22 	50.2    	20.74
00:31.9     	16.05 	54.3    	20.71
00:32.8     	14.19 	59.7    	20.65
00:33.8     	12.80 	64.3    	20.58
00:34.7     	11.63 	67.8    	20.46
00:35.6     	10.63 	70.9    	20.34
00:36.5     	9.77  	74.8    	20.11
00:37.4     	9.10  	77.5    	19.86
00:38.2     	8.80  	77.6    	19.59
00:39.1     	8.57  	78.0    	19.31
00:40.0     	8.44  	78.0    	19.03
00:40.9     	8.39  	77.5    	18.75
00:41.8     	8.34  	77.3    	18.49
00:42.7     	8.44  	75.8    	18.19
00:43.6     	8.50  	74.9    	17.89
00:44.5     	8.53  	74.6    	17.58
00:45.4     	8.46  	75.0    	17.23
00:46.2     	8.43  	74.5    	16.94
00:47.3     	8.29  	75.5    	16.66
00:48.2     	8.13  	76.6    	16.39
00:49.0     	7.93  	79.4    	16.08
00:49.9     	7.86  	79.7    	15.83
00:50.8     	7.78  	79.5    	15.60
00:51.7     	7.74  	79.1    	15.39
00:52.6     	7.69  	78.9    	15.19
00:53.5     	7.65  	78.6    	15.00
00:54.4     	7.60  	78.5    	14.81
00:55.3     	7.60  	78.2    	14.63
00:56.2     	7.63  	77.9    	14.43
00:57.0     	7.66  	77.4    	14.24
00:57.9     	7.72  	76.6    	14.06
00:58.8     	7.69  	76.6    	13.89
00:59.7     	7.61  	77.1    	13.73
01:00.7     	7.51  	77.8    	13.58
01:01.6     	7.47  	78.0    	13.43
01:02.5     	7.66  	76.4    	13.27
01:03.4     	7.71  	76.1    	13.12
01:04.3     	7.75  	75.9    	12.98
01:05.1     	7.72  	76.2    	12.83
01:06.0     	7.71  	76.3    	12.69
01:06.9     	7.73  	75.8    	12.54
01:07.8     	7.80  	74.9    	12.40
01:08.7     	7.85  	74.4    	12.27
01:09.6     	7.94  	73.8    	12.15
01:10.5     	7.92  	74.1    	12.03
01:11.4     	7.89  	74.5    	11.92
01:12.3     	7.89  	74.3    	11.82
01:13.1     	7.87  	74.4    	11.72
01:14.1     	7.91  	74.0    	11.62
01:15.0     	7.94  	73.6    	11.53
01:15.9     	7.96  	73.3    	11.44
01:16.8     	8.02  	72.8    	11.35
01:17.7     	8.08  	72.5    	11.26
01:18.6     	8.10  	72.4    	11.17
01:19.5     	8.16  	72.1    	11.07
01:20.4     	8.08  	73.1    	10.96
01:21.2     	8.12  	72.4    	10.85
01:22.1     	8.31  	70.8    	10.77
01:23.0     	8.44  	69.8    	10.69
01:23.9     	8.46  	70.0    	10.61
01:24.8     	8.51  	69.8    	10.55
01:25.7     	8.50  	69.8    	10.49
01:26.8     	8.48  	69.7    	10.43
01:27.6     	8.54  	69.4    	10.38
01:28.5     	8.53  	69.4    	10.33
01:29.3     	8.52  	69.5    	10.28
01:30.2     	8.45  	70.0    	10.23
01:31.1     	8.41  	70.4    	10.18
01:32.0     	8.38  	70.6    	10.13
01:32.9     	8.37  	70.6    	10.07
01:33.8     	8.45  	70.0    	10.03
01:34.7     	8.48  	70.0    	9.97
01:35.6     	8.49  	69.8    	9.93
01:36.5     	8.47  	69.7    	9.89
01:37.3     	8.50  	69.6    	9.85
01:38.2     	8.51  	69.4    	9.81
01:39.1     	8.48  	69.6    	9.78
01:40.0     	8.47  	69.7    	9.74
01:41.0     	8.44  	69.8    	9.71
01:41.9     	8.41  	69.9    	9.67
01:42.6     	8.44  	69.9    	9.67
01:42.8     	8.31  	71.0    	9.64
01:43.7     	8.24  	71.4    	9.60
01:44.6     	8.19  	71.8    	9.56
01:45.4     	8.20  	71.7    	9.53
01:46.3     	8.16  	72.1    	9.50
01:47.3     	8.09  	72.5    	9.47
01:48.1     	8.10  	72.4    	9.44
01:49.0     	8.07  	72.4    	9.41
01:49.9     	8.04  	72.5    	9.38
01:50.8     	8.00  	72.7    	9.35
01:51.7     	8.09  	72.0    	9.32
01:52.6     	8.14  	71.6    	9.29
01:53.4     	8.21  	71.2    	9.26
01:54.3     	8.21  	71.5    	9.22
01:55.3     	8.18  	71.6    	9.19
01:56.2     	8.17  	71.7    	9.16
01:57.1     	8.13  	72.1    	9.13
01:58.0     	8.09  	72.5    	9.11
01:58.9     	8.03  	73.0    	9.08
01:59.8     	8.04  	72.7    	9.06
02:00.7     	8.07  	72.3    	9.03
02:01.5     	8.12  	71.8    	9.01
02:02.4     	8.07  	72.1    	8.99
02:03.3     	8.06  	72.1    	8.97
02:04.2     	8.03  	72.3    	8.95
02:05.1     	7.95  	72.8    	8.93
02:06.0     	7.90  	73.0    	8.91
02:06.9     	7.89  	72.9    	8.88
02:07.9     	7.84  	73.1    	8.86
02:08.8     	7.79  	73.4    	8.83
02:09.6     	7.74  	73.7    	8.80
02:10.5     	7.59  	74.7    	8.77
02:11.4     	7.63  	74.5    	8.74
02:12.3     	7.78  	73.4    	8.71
02:13.2     	7.90  	72.5    	8.68
02:14.1     	8.01  	71.8    	8.65
02:15.0     	8.16  	70.8    	8.63
02:15.9     	8.19  	70.7    	8.61
02:16.8     	8.14  	71.2    	8.59
02:17.6     	8.09  	71.5    	8.57
02:18.5     	8.04  	71.9    	8.55
02:19.5     	8.02  	71.9    	8.54
02:20.3     	8.05  	71.6    	8.52
02:21.3     	8.08  	71.3    	8.50
02:22.2     	8.06  	71.3    	8.49
02:23.1     	7.96  	71.9    	8.47
02:24.0     	8.02  	71.5    	8.46
02:24.9     	8.11  	70.9    	8.44
02:25.8     	8.11  	70.9    	8.43
02:26.7     	8.00  	71.6    	8.42
02:27.6     	7.87  	72.4    	8.41
02:28.4     	7.74  	73.2    	8.39
02:29.3     	7.59  	74.1    	8.38
02:30.2     	7.49  	74.7    	8.36
02:31.1     	7.42  	75.1    	8.34
02:32.0     	7.33  	75.8    	8.32
02:32.9     	7.29  	76.2    	8.29
02:33.8     	7.21  	76.4    	8.28
02:34.8     	7.27  	76.1    	8.26
02:35.7     	7.36  	75.5    	8.23
02:36.5     	7.40  	75.3    	8.21
02:37.4     	7.40  	75.3    	8.19
02:38.3     	7.40  	75.3    	8.17
