Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
02:15.1     	8.23  	91.8        	10.78
02:16.0     	8.22  	91.8        	10.74
02:16.9     	8.21  	91.8        	10.70
02:17.7     	8.22  	91.9        	10.67
02:18.7     	8.22  	91.8        	10.63
02:19.7     	8.21  	91.8        	10.59
02:20.5     	8.22  	91.8        	10.55
02:21.4     	8.22  	91.9        	10.51
02:22.3     	8.23  	91.9        	10.47
02:23.2     	8.23  	91.9        	10.43
02:24.1     	8.24  	91.8        	10.40
02:25.0     	8.25  	91.7        	10.36
02:25.8     	8.26  	91.5        	10.32
02:26.8     	8.27  	91.4        	10.29
02:27.7     	8.28  	91.4        	10.25
02:28.5     	8.28  	91.5        	10.22
02:29.4     	8.28  	91.5        	10.18
02:30.3     	8.28  	91.4        	10.15
02:31.2     	8.28  	91.4        	10.12
02:32.1     	8.29  	91.3        	10.08
02:33.1     	8.29  	91.3        	10.05
02:33.9     	8.30  	91.2        	10.02
02:34.9     	8.30  	91.1        	9.99
02:35.8     	8.30  	91.1        	9.95
02:36.6     	8.29  	91.1        	9.92
02:37.5     	8.28  	91.1        	9.89
02:38.4     	8.28  	91.1        	9.86
02:39.3     	8.27  	91.1        	9.83
02:40.2     	8.25  	91.3        	9.80
02:41.1     	8.23  	91.4        	9.77
02:42.0     	8.23  	91.3        	9.74
02:42.9     	8.23  	91.3        	9.72
02:43.8     	8.23  	91.4        	9.69
02:44.6     	8.22  	91.3        	9.67
02:45.5     	8.21  	91.4        	9.64
02:46.5     	8.21  	91.5        	9.62
02:47.4     	8.23  	91.4        	9.59
02:48.3     	8.24  	91.3        	9.57
02:49.2     	8.25  	91.2        	9.55
02:50.1     	8.26  	91.2        	9.52
02:51.0     	8.27  	91.0        	9.50
02:51.9     	8.28  	90.9        	9.48
02:52.7     	8.29  	90.9        	9.46
02:53.6     	8.30  	90.8        	9.44
02:54.5     	8.30  	90.8        	9.42
02:55.4     	8.31  	90.7        	9.41
02:56.3     	8.31  	90.6        	9.39
02:57.2     	8.31  	90.6        	9.37
02:58.1     	8.31  	90.6        	9.35
02:59.0     	8.31  	90.4        	9.34
03:00.0     	8.31  	90.5        	9.32
03:00.8     	8.31  	90.5        	9.30
03:01.7     	8.31  	90.4        	9.29
03:02.6     	8.30  	90.4        	9.27
03:03.5     	8.29  	90.3        	9.26
03:04.4     	8.30  	90.1        	9.25
03:05.3     	8.30  	89.9        	9.23
03:06.2     	8.28  	89.9        	9.22
03:07.1     	8.25  	90.0        	9.21
03:08.0     	8.22  	90.3        	9.20
03:08.8     	8.20  	90.5        	9.18
03:09.7     	8.18  	90.5        	9.17
03:10.6     	8.17  	90.6        	9.16
03:11.6     	8.17  	90.7        	9.15
03:12.5     	8.16  	90.7        	9.13
03:13.4     	8.15  	90.7        	9.12
03:14.3     	8.14  	90.8        	9.11
03:15.2     	8.11  	90.8        	9.10
03:16.1     	8.10  	90.8        	9.09
03:16.9     	8.10  	90.9        	9.08
03:17.8     	8.12  	90.7        	9.07
03:18.7     	8.14  	90.6        	9.06
03:19.6     	8.16  	90.5        	9.05
03:20.5     	8.18  	90.5        	9.04
03:21.4     	8.19  	90.5        	9.03
03:22.3     	8.19  	90.3        	9.02
03:23.2     	8.19  	90.5        	9.01
03:24.1     	8.18  	90.5        	9.00
03:24.9     	8.18  	90.5        	8.99
03:25.9     	8.17  	90.5        	8.98
03:26.8     	8.17  	90.4        	8.97
03:27.7     	8.17  	90.4        	8.96
03:28.6     	8.19  	90.3        	8.96
03:29.5     	8.20  	90.1        	8.95
03:30.4     	8.21  	89.9        	8.94
03:31.3     	8.23  	89.7        	8.93
03:32.2     	8.24  	89.6        	8.93
03:33.0     	8.25  	89.5        	8.92
03:33.9     	8.25  	89.5        	8.91
03:34.8     	8.25  	89.4        	8.90
03:35.7     	8.22  	89.4        	8.90
03:36.6     	8.18  	89.6        	8.89
03:37.5     	8.17  	89.5        	8.88
03:38.5     	8.18  	89.4        	8.88
03:39.4     	8.17  	89.4        	8.87
03:40.3     	8.16  	89.3        	8.87
03:41.1     	8.16  	89.3        	8.86
03:42.0     	8.14  	89.4        	8.85
03:42.9     	8.13  	89.4        	8.85
03:43.8     	8.15  	89.2        	8.84
03:44.7     	8.16  	89.1        	8.83
03:45.6     	8.13  	89.4        	8.83
03:46.5     	8.10  	89.6        	8.82
03:47.4     	8.07  	89.8        	8.82
03:48.3     	8.04  	90.0        	8.81
03:49.1     	8.04  	90.0        	8.81
03:50.1     	8.05  	90.0        	8.80
03:51.0     	8.06  	89.8        	8.80
03:51.9     	8.08  	89.7        	8.79
03:52.8     	8.08  	89.6        	8.79
03:53.7     	8.07  	89.7        	8.78
03:54.6     	8.07  	89.7        	8.78
03:55.5     	8.07  	89.9        	8.77
03:56.4     	8.04  	90.1        	8.77
03:57.2     	8.01  	90.6        	8.76
03:58.2     	8.00  	90.9        	8.76
03:59.1     	7.99  	91.1        	8.75
03:59.9     	7.97  	91.2        	8.74
04:00.8     	7.96  	91.2        	8.74
04:01.7     	7.95  	91.2        	8.73
04:02.6     	7.95  	91.1        	8.72
04:03.5     	7.95  	91.1        	8.71
04:04.4     	7.96  	91.1        	8.70
04:05.3     	7.96  	91.1        	8.69
04:06.3     	7.97  	91.1        	8.68
04:07.2     	7.97  	91.0        	8.67
04:08.0     	7.98  	91.1        	8.66
04:08.9     	7.98  	91.1        	8.65
04:09.8     	7.99  	91.1        	8.64
04:10.7     	8.00  	91.0        	8.63
04:11.6     	8.01  	90.9        	8.62
04:12.5     	8.03  	90.7        	8.60
04:13.3     	8.03  	90.7        	8.59
04:14.3     	8.04  	90.6        	8.58
04:15.2     	8.04  	90.5        	8.57
04:16.0     	8.03  	90.5        	8.56
04:17.0     	8.03  	90.4        	8.55
04:17.9     	8.03  	90.4        	8.54
04:18.8     	8.03  	90.3        	8.53
04:19.7     	8.06  	90.1        	8.52
04:20.6     	8.08  	90.0        	8.51
04:21.4     	8.09  	90.0        	8.51
04:22.4     	8.10  	90.0        	8.50
04:23.3     	8.11  	89.9        	8.49
04:24.1     	8.12  	89.9        	8.48
04:25.0     	8.13  	89.8        	8.48
