Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:00.9     	--    	47.8    	--
00:01.9     	--    	47.8    	--
00:02.8     	--    	47.8    	--
00:03.7     	--    	47.8    	--
00:04.6     	--    	47.8    	--
00:05.4     	--    	47.8    	--
00:06.3     	--    	47.8    	--
00:07.2     	--    	47.8    	--
00:07.9     	21.35 	51.2    	21.83
00:08.8     	21.35 	52.8    	21.83
00:09.7     	21.35 	52.8    	21.83
00:10.6     	21.35 	52.8    	21.83
00:11.5     	21.35 	52.9    	21.83
00:12.4     	21.38 	53.6    	21.85
00:13.3     	21.41 	54.2    	21.85
00:14.2     	21.44 	54.1    	21.85
00:15.1     	21.45 	54.0    	21.84
00:16.0     	21.45 	53.8    	21.84
00:16.9     	21.45 	53.5    	21.85
00:17.8     	21.46 	53.3    	21.86
00:18.7     	21.47 	53.2    	21.86
00:19.5     	21.68 	52.4    	21.93
00:20.4     	21.84 	53.3    	21.92
00:21.3     	22.09 	53.8    	21.93
00:22.3     	22.30 	52.7    	21.95
00:23.2     	22.28 	52.6    	21.92
00:24.1     	22.35 	51.8    	21.94
00:24.9     	22.24 	51.5    	21.93
00:25.9     	22.25 	51.3    	21.95
00:26.8     	22.30 	51.3    	21.96
00:27.6     	22.29 	51.3    	21.97
00:28.5     	22.31 	51.3    	21.98
00:29.4     	22.41 	51.4    	21.99
00:30.3     	22.45 	51.5    	22.00
00:31.2     	22.46 	51.4    	22.00
00:32.1     	22.43 	51.4    	22.01
00:33.0     	22.36 	51.4    	22.02
00:33.9     	22.32 	51.3    	22.03
00:34.8     	22.27 	51.3    	22.04
00:35.7     	22.19 	51.4    	22.05
00:36.6     	22.17 	51.2    	22.06
00:37.5     	22.11 	51.4    	22.06
00:38.4     	22.05 	51.4    	22.08
00:39.3     	22.04 	51.6    	22.08
00:40.2     	22.02 	51.6    	22.09
00:41.0     	22.01 	51.6    	22.09
00:41.9     	22.00 	51.6    	22.09
00:42.8     	22.00 	51.6    	22.10
00:43.7     	22.02 	51.6    	22.11
00:44.7     	22.03 	51.5    	22.11
00:45.6     	22.05 	51.6    	22.11
00:46.5     	22.15 	51.6    	22.12
00:47.4     	22.22 	51.3    	22.15
00:48.3     	22.26 	51.3    	22.13
00:49.2     	22.30 	51.9    	22.13
00:50.0     	22.21 	51.5    	22.11
00:50.9     	22.07 	51.1    	22.14
00:51.8     	21.96 	51.2    	22.13
00:52.7     	21.94 	51.0    	22.13
00:53.6     	22.02 	50.6    	22.18
00:54.5     	22.09 	50.9    	22.17
00:55.4     	21.84 	51.4    	22.09
00:56.4     	19.97 	50.1    	22.07
00:57.3     	18.43 	50.8    	21.99
00:58.1     	16.48 	54.7    	21.89
00:59.0     	14.76 	59.7    	21.80
00:59.9     	13.31 	64.4    	21.69
01:00.8     	12.15 	68.5    	21.53
01:01.7     	11.24 	72.0    	21.34
01:02.6     	10.52 	75.1    	21.08
01:03.4     	9.89  	77.7    	20.86
01:04.3     	9.39  	80.0    	20.58
01:05.3     	9.02  	81.6    	20.33
01:06.2     	8.77  	82.1    	20.04
01:07.1     	8.65  	82.1    	19.73
01:08.0     	8.50  	82.5    	19.43
01:08.9     	8.38  	82.8    	19.14
01:09.8     	8.30  	82.8    	18.83
01:10.7     	8.33  	81.7    	18.52
01:11.5     	8.29  	81.8    	18.20
01:12.4     	8.26  	81.6    	17.85
01:13.3     	8.23  	81.3    	17.49
01:14.2     	8.16  	81.0    	17.22
01:15.1     	8.17  	80.5    	16.96
01:16.0     	8.26  	79.7    	16.66
01:17.0     	8.33  	79.2    	16.37
01:17.9     	8.36  	78.8    	16.11
01:18.8     	8.38  	78.4    	15.88
01:19.6     	8.39  	78.2    	15.65
01:20.5     	8.35  	78.5    	15.41
01:21.4     	8.32  	78.5    	15.16
01:22.3     	8.24  	78.6    	14.93
01:23.2     	8.16  	78.9    	14.71
01:24.1     	8.05  	79.4    	14.50
01:25.0     	7.98  	79.5    	14.29
01:25.9     	7.92  	79.6    	14.08
01:26.8     	7.88  	79.7    	13.89
01:27.6     	7.82  	79.9    	13.72
01:28.6     	7.81  	79.9    	13.58
01:29.5     	7.82  	79.8    	13.43
01:30.4     	7.80  	80.0    	13.25
01:31.3     	7.74  	80.1    	13.07
01:32.2     	7.80  	79.4    	12.89
01:33.0     	7.84  	78.9    	12.74
01:34.0     	7.95  	78.3    	12.60
01:34.9     	8.00  	77.9    	12.45
01:35.7     	8.15  	76.9    	12.34
01:36.6     	8.20  	76.6    	12.24
01:37.5     	8.29  	76.1    	12.13
01:38.4     	8.31  	76.0    	12.03
01:39.3     	8.32  	76.0    	11.94
01:40.3     	8.30  	76.2    	11.81
